Individual_MSB:Fish_Catalog_Number,Fish_Species,Date_Fish_Collected,Location_Control_or_Impact,Fish_Barcode,Dissector,Dissection_Date,Total_Length(mm),Standard_Length(mm),Weight(mg),Examiner,Sex,Gut_Contents,Notes,SKIN,MUSCLE,BUCCAL_CAVITY,BODY_CAVITY,PECTORALFIN,PELVICFIN,COPE.IMLER.ANALFIN,MONO.GYRO.ANALFIN,CAUDALFIN,DORSALFIN,GONAD,TREM.DIPLO.LIVER,KIDNEY,EYE,HEART,STOMACH,TREM.D.CONN,TREM.DIPLO.CONNECTIVETISSUE,TREM.B.CONNECTIVETISSUE,TREM.GOLD.CONNECTIVE_TISSUE,NEMA.UNK.INT,MONO.GYRO.GILL,GALL_BLADDER,TREM.DLUM.FLUSH,TREM.META.UNK.FLUSH,TREM.D.FLUSH,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_label:SMB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Label:fishID,P3_label:Parasites_Code,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,Life Stage 4,Organ 4,How preserved 4,barcode 4,Parasite label 4,Parasite label  4
MSB 5823-3,Hybognathus amarus,"September 10, 1987",,JAR8661F,BP,06/18/2025,77,62,4671,CLW+KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,4,0,0,0,0,NA,0,0,0,MSB 5825-3,Hybognathus amarus,JAR8661F,Diplostomatidae,4,CLW+KL,CLW+KL,NA,Connective Tissue,70% etoh,MSBP6JXR,MSB 5825-3,TREM.DIPLO.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 25010-1,Hybognathus amarus,"August 2, 1995",,JAR8629F,EO,06/16/2025,43,32,743,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,MSB 25010-1,Hybognathus amarus,JAR8629F,Diplostomatidae,2,CW,CW,Metacercariae,Connective Tissue,70% etoh,MSBP6JXP,MSB 25010-1,TREM.DIPLO.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5825-1,Hybognathus amarus,"September 10, 1987",,JAR8657F,BP,06/18/2025,59,47,2305,BP+KL,F,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,MSB 5825-1,Hybognathus amarus,JAR8657F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 5825-4,Hybognathus amarus,"September 10, 1987",,JAR8663F,BP,06/18/2025,63,49,2591,EO+CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MSB 5825-4,Hybognathus amarus,JAR8663F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 25010-4,Hybognathus amarus,"August 2, 1995",,JAR8652F,JG,06/16/2025,35,28,503,JG+CLW,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,NA,1,1,0,MSB 25010-4,Hybognathus amarus,JAR8652F,Possibly Diplostomulum,1,JG+CLW,JG+CLW,Metacercariae,Flush,70% etoh,MSBP6JW9,MSB 25010-4,TREM.DLUM,Unknown nematode,1,JG+CLW,JG+CLW,Unknown,Flush,70% etoh,NA,MSB 25010-4,NEMA.UNK,Unknown,1,JG+CLW,JG+CLW,Metacercariae,Flush,70% etoh,MSBP6JWA,MSB 25010-4,TREM.META.UNK,,,,,,,,,,
MSB 19537-4,Hybognathus amarus,"September 16, 1994",,JAR8638F,JG,06/16/2025,53,44,1183,CLW,NA,NA,"Gills dried out, etoh was added back to dry gills 16:54, 06/18/2025, White ""cysts"" (on skin) that contain crystallized material-not parasitic",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,MSB 19537-4,Hybognathus amarus,JAR8638F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 19537-1,Hybognathus amarus,"September 16, 1994",,JAR8632F,JG,06/16/2025,54,48,1824,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,MSB 19537-1,Hybognathus amarus,JAR8632F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 20526-4,Hybognathus amarus,"July 27, 1994",,JAR8669F,BP,06/20/2025,34,26,375,CLW,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,0,0,0,1,NA,0,0,0,MSB 20526-4,Hybognathus amarus,JAR8669F,Diplostomatidae,1,CLW,CLW,Metacercariae,Liver,70% etoh,MSBP6JWB,MSB 20526-4,TREM.DIPLO.LIVER,Diplostomatidae ,4,CLW,CLW,Metacercariae,Connective Tissue,70% etoh,MSBP6JWC,MSB 20526-4,TREM.DIPLO.CONN,Gyrodactylidae sp 1,1,CLW,CLW,Adult,Gill,70% etoh,MSBP6JWF,MSB 20526-4,MONO.GYRO.GILL,,,,,,,,,,
MSB 5825-2,Hybognathus amarus,"September 10, 1987",,JAR8659F,BP,06/18/2025,54,42,1606,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,NA,0,0,0,MSB 5825-2,Hybognathus amarus,JAR8659F,Diplostomatidae,4,CW,CW,Metacercariae,Connective Tissue,70% etoh,MSBP6JXO,MSB 5825-2,TREM.DIPLO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 20526-5,Hybognathus amarus,"July 27, 1994",,JAR8666F,EO,06/20/2025,37,29,510,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MSB 20526-5,Hybognathus amarus,JAR8666F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 19537-5,Hybognathus amarus,"September 16, 1994",,JAR8637F,EO,06/16/2025,47,38,760,CW,NA,Empty,"All intestines clear/see through, eye dried out (stuck on lid)",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,2,0,0,0,0,NA,0,0,0,MSB 19537-5,Hybognathus amarus,JAR8637F,Diplostomatidae,2,CW,CW,NA,Connective Tissue,70% etoh,MSBP6JXM,MSB 19537-5,TREM.DIPLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB 25010-5,Hybognathus amarus,"August 2, 1995",,JAR8651F,EO,06/16/2025,38,30,494,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,MSB 25010-5,Hybognathus amarus,JAR8651F,Trematode species unknown 3,5,KL,KL,NA,Flush,70% etoh,MSBP6JXL,MSB 25010-5,TREM.D ,Gyrodactylidae sp 1,1,KL,KL,Adult,Gill,70% etoh,MSBP6JXN,MSB 25010-5,MONO.GYRO,,,,,,,,,,,,,,,,,,,,
MSB 1129-5,Hybognathus amarus,"February 20, 1959",,JAR8672F,JG,06/20/2025,40,32,383,CW,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MSB 1129-5,Hybognathus amarus,JAR8672F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
