CatalogNumber,Individual_ID,Fish_Species,Year_Fish_Collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,SKIN,MUSCLE,BUCCAL_CAVITY,BODY_CAVITY,MONO.GYRO.PECTORALFIN,TREM.FIM.PECTORALFIN,COPE.LERN.PELVICFIN,MONO.GYRO.PELVICFIN,COPE.IMLER.ANALFIN,COPE.LERN.ANALFIN,MONO.GYRO.ANALFIN,TREM.FIM.CAUDALFIN,TREM.META.UNK.CAUDALFIN,MONO.GYRO.CAUDALFIN,CYST.UNK.CAUDALFIN,MONO.GYRO.DORSALFIN,GONAD,TREM.DIPLO.LIVER,TREM.D.LIVER,TREM.GOLD.LIVER,KIDNEY,TREM.DIPLO.EYE,TREM.EM.EYE,HEART,STOMACH,TREM.D.CONN,TREM.DIPLO.CONN,TREM.L.CONN,TREM.B.CONN,TREM.GOLD.CONN,TREM.UNK.CONN,NEM.CL.INT,NEMA.UNK.INT,MYXO.SUSP.GILL,CYST.UNK.GILL,MONO.DACT.GILL,MONO.GYRO.GILL,MONO.UNK.GILL,MYXO.B.GILL,META.UNK.GILL,GALL_BLADDER,MONO.GYRO.FLUSH,TREM.DLUM.FLUSH,TREM.META.UNK.FLUSH,TREM.B.FLUSH,TREM.D.FLUSH,TREM.DIPLO.FLUSH,TREM.UNK.FLUSH,TREM.L.FLUSH,TREM.RIDGE.FLUSH,COPE.LERN.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1 Box Number,P1 Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2 Box Number,P2 Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Label:fishID,P3_label:Parasites_Code,P3 Box Number,P3 Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,P4_Life_Stage,P4_Organ,P4_How_preserved,P4_barcode,P4_Label:fishID,P4_label:Parasites_Code,P4 Box_number,P4 Notes,P5_Species,P5_Number_of_individuals,P5_collector,P5_identifier,P5_Life_Stage,P5_Organ,P5_How_preserved,P5_barcode,P5_Label:fishID,P5_label:Parasites_Code,P5 Box Number,P5 Notes
MSB:Fish:5823,MSB 5823-3,Hybognathus amarus,1987,9,10,JAR8661F,BP,06-18-2025,,77,62,4671,CLW KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,MSB 5825-3,Hybognathus amarus,JAR8661F,Diplostomatidae,4,CLW KL,CLW KL,NA,Connective tissue,70% etoh,P6JXR,MSB 5825-3,TREM.DIPLO.CONNECTIVETISSUES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:25010,MSB 25010-1,Hybognathus amarus,1995,8,2,JAR8629F,EO,06-16-2025,,43,32,743,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 25010-1,Hybognathus amarus,JAR8629F,Diplostomatidae,2,CW,CW,Metacercariae,Connective tissue,70% etoh,P6JXP,MSB 25010-1,TREM.DIPLO.CONNECTIVETISSUES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5825,MSB 5825-1,Hybognathus amarus,1987,9,10,JAR8657F,BP,06-18-2025,,59,47,2305,BP KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5825,MSB 5825-4,Hybognathus amarus,1987,9,10,JAR8663F,BP,06-18-2025,,63,49,2591,EO CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:25010,MSB 25010-4,Hybognathus amarus,1995,8,2,JAR8652F,JG,06-16-2025,,35,28,503,JG CLW,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,,MSB 25010-4,Hybognathus amarus,JAR8652F,Diplostomulum,1,JG CLW,JG CLW,Metacercariae,Flush,70% etoh,P6JW9,MSB 25010-4,TREM.DLUM,1,,Nematoda,1,JG CLW,JG CLW,Unknown,Flush,70% etoh,NA,MSB 25010-4,NEMA.UNK,1,,Digenea,1,JG CLW,JG CLW,Metacercariae,Flush,70% etoh,P6JWA,MSB 25010-4,TREM.META.UNK,1,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19537,MSB 19537-4,Hybognathus amarus,1994,9,16,JAR8638F,JG,06-16-2025,,53,44,1183,CLW,NA,NA,"Gills dried out, etoh was added back to dry gills 16:54, 06/18/2025, White ""cysts"" (on skin) that contain crystallized material-not parasitic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19537,MSB 19537-1,Hybognathus amarus,1994,9,16,JAR8632F,JG,06-16-2025,,54,48,1824,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:20526,MSB 20526-4,Hybognathus amarus,1994,7,27,JAR8669F,BP,06-20-2025,,34,26,375,CLW,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,MSB 20526-4,Hybognathus amarus,JAR8669F,Diplostomatidae,1,CLW,CLW,Metacercariae,Liver,70% etoh,P6JWB,MSB 20526-4,TREM.DIPLO.LIVER,1,,Diplostomatidae ,4,CLW,CLW,Metacercariae,Connective tissue,70% etoh,P6JWC,MSB 20526-4,TREM.DIPLO.CONN,1,,Gyrodactylidae,1,CLW,CLW,Adult,Gill,70% etoh,P6JWF,MSB 20526-4,MONO.GYRO.GILL,1,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5825,MSB 5825-2,Hybognathus amarus,1987,9,10,JAR8659F,BP,06-18-2025,,54,42,1606,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,,MSB 5825-2,Hybognathus amarus,JAR8659F,Diplostomatidae,4,CW,CW,Metacercariae,Connective tissue,70% etoh,P6JXO,MSB 5825-2,TREM.DIPLO ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:20526,MSB 20526-5,Hybognathus amarus,1994,7,27,JAR8666F,EO,06-20-2025,,37,29,510,CW,NA,Dirt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
