CatalogNumber,Individual_ID,Fish_Species,Date_Fish_Collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,SKIN,MUSCLE,BUCCAL_CAVITY,BODY_CAVITY,MONO.GYRO.PECTORALFIN,TREM.FIM.PECTORALFIN,COPE.LERN.PELVICFIN,MONO.GYRO.PELVICFIN,COPE.IMLER.ANALFIN,MONO.GYRO.ANALFIN,TREM.META.UNK.CAUDALFIN,MONO.GYRO.CAUDALFIN,MONO.GYRO.DORSALFIN,GONAD,TREM.DIPLO.LIVER,TREM.GOLD.LIVER,KIDNEY,TREM.DIPLO.EYE,TREM.EM.EYE,HEART,STOMACH,TREM.D.CONN,TREM.DIPLO.CONN,TREM.B.CONN,TREM.GOLD.CONN,NEMA.UNK.INT,MYXO.SUSP.GILL,CYST.UNK.GILL,MONO.DACT.GILL,MONO.GYRO.GILL,GALL_BLADDER,TREM.DLUM.FLUSH,TREM.META.UNK.FLUSH,TREM.B.FLUSH,TREM.D.FLUSH,TREM.DIPLO.FLUSH,TREM.UNK,TREM.RIDGE.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Label:fishID,P3_label:Parasites_Code,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,Life Stage 4,Organ 4,How preserved 4,barcode 4,Parasite label 4,Parasite label  4,Box_number
MSB:Fish:49970,MSB 49970-5,Hybognathus amarus,05-05-1994,JAR8646F,EO,06-20-2025,,64,51,2231,EO KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,1,0,0,,,MSB 49970-5,Hybognathus amarus,JAR8646F,Digenea,1,KL,KL,NA,Flush,70% etoh,P6JYQ,MSB 49970-5,TREM.D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:20526,MSB 20526-2,Hybognathus amarus,07-27-1994,JAR8665F,BP,06-20-2025,,37,29,507,CW,NA,NA,Caudal fin damaged,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,NA,0,0,0,0,0,0,,,MSB 20526-2,Hybognathus amarus,JAR8665F,Diplostomatidae,2,CW,CW,Metacercariae,Connective Tissue,70% etoh,P6JWG,MSB 20526-2,TREM.DIPLO.CONN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:1129,MSB 1129-1,Hybognathus amarus,02-20-1959,JAR8668F,JG,06-20-2025,,41,33,519,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:1129,MSB 1129-3,Hybognathus amarus,02-20-1959,JAR8673F,JG,06-20-2025,,43,36,659,CW,NA,NA,"1st parasite lost, 2nd broken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,0,,,MSB 1129-3,Hybognathus amarus,JAR8673F,Dactylogyrus,2,CW,CW,Adult,Gill,70% etoh ,P6JXJ,MSB 1129-3,MONO.DACT.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:1129,MSB 1129-2,Hybognathus amarus,02-20-1959,JAR8674F,EO,06-20-2025,,46,34,697,CLW,NA,NA,Liver is tiny! Parasite destroyed under cover slip,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,,MSB 1129-2,Hybognathus amarus,JAR8674F,Gyrodactylidae,1,CLW,CLW,NA,Gill,70% etoh,NA,MSb 1129-2,MONO.GYRO.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:49970,MSB 49970-3,Hybognathus amarus,05-05-1994,JAR8645F,EO,06-20-2025,,69,55,2817,KL BP CW,NA,NA,,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,MSB 49970-3,Hybognathus amarus,JAR8645F,Gyrodactylidae,5,KL,KL,Adult,"Skin, Pectoral Fin, Anal Fin",70% etoh,P6JXG,MSB 49970-3,MONO.GYRO,Lernaea,1,KL,KL,NA,Anal Fin,70% etoh,P6JXG,MSB 49970-3,COPE.IMLER,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:20526,MSB 20526-3,Hybognathus amarus,07-27-1994,JAR8667F,EO,06-20-2025,,38,30,599,CLW,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,NA,0,0,0,0,0,0,,,MSB 20526-3,Hybognathus amarus,JAR8667F,Digenea,1,CLW,CLW,Metacercariae,Connective Tissue,70% etoh,P6JWH,MSB 20526-3,TREM.D.CONN,Digenea,1,CLW,CLW,Metacercariae,Connective Tissue,70% etoh,P6JWI,MSB 20526-3,TREM.DIPLO.CONN,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:20526,MSB 20526-1,Hybognathus amarus,07-27-1994,JAR8647F,EO,06-20-2025,,53,44,1498,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,,MSB 20526-1,Hybognathus amarus,JAR8647,Digenea,1,KL,KL,Metacercariae,Flush,70% etoh,P6JYR,MSB 20526-1,TREM.D.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:49970,MSB 49970-2,Hybognathus amarus,05-05-1994,JAR8643F,JG,06-20-2025,,63,52,2230,CW JG,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,MSB 49970-2,Hybognathus amarus,JAR8643F,Diplostomatidae,1,CW JG,CW,Metacercariae,Liver,70% etoh,P6JXF,MSB 49970-2,TREM.DIPLO.LIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MSB:Fish:39103,MSB 39103-1,Hybognathus amarus,10-15-1997,JAR8670F,BP,06-23-2025,06-23-2025,57,53,2560,JG KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
