"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"22",55,"MSB","Fish specimens","MSB:Fish:280",424,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.155761,-106.655157,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Griegos Drain, near head at Chavez Avenue, Los Ranchos de Albuquerque.",NA,"",1949,10,28,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:32:26.0","impact","1941-1950","impact_1941-1950",5
"23",106,"MSB","Fish specimens","MSB:Fish:340",10,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.185977,-106.653113,1578,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Corrales Riverside Drain, ca. 1.6 kilometers south of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,11,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:56:46.0","impact","1941-1950","impact_1941-1950",5
"24",22,"MSB","Fish specimens","MSB:Fish:315",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.188761,-106.64706,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, 0.75 mile below Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,7,28,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:46:37.0","impact","1941-1950","impact_1941-1950",5
"25",135,"MSB","Fish specimens","MSB:Fish:305",37,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.204443,-106.610046,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Alameda Drain, off Second Street or NM State HWY 47, north of Alameda.",NA,"",1949,7,21,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:59.0","impact","1941-1950","impact_1941-1950",5
"26",193,"MSB","Fish specimens","MSB:Fish:515",130,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.20447,-106.610066,2000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Alameda Drain, off Second Street or NM State HWY 47 near Sandoval County line.",NA,"",1949,11,19,"Collector(s): William J. Koster, Kenneth R. Coburn, G. Atkinson","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn, G. Atkinson","2019-05-26 20:57:16.0","impact","1941-1950","impact_1941-1950",5
"27",88,"MSB","Fish specimens","MSB:Fish:326",114,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.210652,-106.627124,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Riverside Drain on Rio Grande, north of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1949,7,21,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:39.0","impact","1941-1950","impact_1941-1950",5
"31",17,"MSB","Fish specimens","MSB:Fish:307",27,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.987044,-106.690293,3466,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, ca 4 kilometers upstream of Interstate 25 bridge, in vicinity of Pajarito Community in South Valley, an unicorporated section of Albuquerque.",NA,"",1959,2,24,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:41:59.0","impact","1951-1960","impact_1951-1960",5
"32",85,"MSB","Fish specimens","MSB:Fish:285",23,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.051774,-106.671997,4148,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, in the South Valley, an unicorporated section of Albuquerque.",NA,"",1961,2,17,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:32:27.0","impact","1961-1970","impact_1961-1970",5
"33",136,"MSB","Fish specimens","MSB:Fish:283",28,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.197915,-106.644476,500,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Drain canal west of Rio Grande, Alameda.",NA,"",1961,2,12,"Collector(s): J. K. Winther Jr.","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A; ; IN VIAL JAR 212-G","2019-05-26 21:32:27.0","impact","1961-1970","impact_1961-1970",5
"35",164,"MSB","Fish specimens","MSB:Fish:1068",17,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.051774,-106.671997,4148,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Atrisco Riverside Drain, on westside of Rio Grande, in the South Valley, an unicorporated section of Albuquerque.",NA,"",1963,2,22,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-A; Storage: 70% EtOH, 212-A;","2019-05-26 21:37:38.0","impact","1961-1970","impact_1961-1970",5
"39",181,"MSB","Fish specimens","MSB:Fish:4012",25,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.134932,-106.690783,654,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Corrales Riverside Drain, northeast of St Pius X High School grounds, formerly the University of Albuquerque, between Rio Grande and NM State HWY 448.",NA,"",1977,9,28,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:32:14.0","impact","1971-1980","impact_1971-1980",5
"40",40,"MSB","Fish specimens","MSB:Fish:3993",31,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.136341,-106.685742,1075,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, northeast of St Pius X High School grounds, formerly the University of Albuquerque, off NM State HWY 448.",NA,"",1977,9,28,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 03:10:09.0","impact","1971-1980","impact_1971-1980",5
"42",121,"MSB","Fish specimens","MSB:Fish:4418",37,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,8,3,"Collector(s): Charles W. Painter, S. P. Gloss","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, S. P. Gloss","2019-05-27 03:13:18.0","impact","1971-1980","impact_1971-1980",5
"43",122,"MSB","Fish specimens","MSB:Fish:4385",71,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0","impact","1971-1980","impact_1971-1980",5
"44",123,"MSB","Fish specimens","MSB:Fish:4378",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1978,9,23,"Collector(s): Charles W. Painter, David W. Reducker, David J. Hafner","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, David J. Hafner","2019-05-27 03:25:56.0","impact","1971-1980","impact_1971-1980",5
"45",47,"MSB","Fish specimens","MSB:Fish:4440",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.090702,-106.684514,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, 0.2 mi north Central Ave., Albuq.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-B; Storage: 70% EtOH, 212-B;","2019-05-27 02:51:51.0","impact","1971-1980","impact_1971-1980",5
"46",12,"MSB","Fish specimens","MSB:Fish:4389",449,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.092867,-106.682332,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Clear ditch, 0.2 mi north Central Ave., Albuquerque.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 03:29:06.0","impact","1971-1980","impact_1971-1980",5
"47",198,"MSB","Fish specimens","MSB:Fish:4453",67,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.10562,-106.681074,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Clear ditch, east of Rio Grande at Interstate 40.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 03:32:19.0","impact","1971-1980","impact_1971-1980",5
"48",49,"MSB","Fish specimens","MSB:Fish:4748",30,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.197227,-106.642667,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM Highway 46 at Corrales bridge.",NA,"",1978,9,5,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 02:51:48.0","impact","1971-1980","impact_1971-1980",5
"69",142,"MSB","Fish specimens","MSB:Fish:6405",79,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1989,10,16,"Collector(s): Steven P. Platania, Douglas A. Young","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Douglas A. Young","2019-05-27 02:42:37.0","impact","1981-1990","impact_1981-1990",5
"67",212,"MSB","Fish specimens","MSB:Fish:7239",23,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.994298,-106.678945,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Barr Canal, just south of Clark Road SW crossing, south end of Albuquerque",NA,"",1989,11,12,"Collector(s): Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 03:26:01.0","impact","1981-1990","impact_1981-1990",5
"70",82,"MSB","Fish specimens","MSB:Fish:7208",152,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.205042,-106.609081,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Alameda Drain, at Montano Road and Second Street or NM State HWY 47, Albuquerque.",NA,"",1989,11,4,"Collector(s): Christopher S. Altenbach, Douglas A. Young","not recorded",NA,"PreservedSpecimen","verbatim collectors: Christopher S. Altenbach, Douglas A. Young","2019-05-27 03:32:33.0","impact","1981-1990","impact_1981-1990",5
"66",66,"MSB","Fish specimens","MSB:Fish:9465",1675,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.917008,-106.675195,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Ditch on east side adjacent to the Rio Grande, 7.6 miles N of Los Lunas",NA,"",1989,2,26,"Collector(s): Kevin R. Bestgen, H. T. Bestgen","not recorded",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, H. T. Bestgen","2019-05-27 03:41:48.0","impact","1981-1990","impact_1981-1990",5
"74",146,"MSB","Fish specimens","MSB:Fish:7971",198,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1990,10,22,"Collector(s): Steven P. Platania, Brooks M. Burr, Douglas A. Young","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr, Douglas A. Young","2019-05-27 03:26:02.0","impact","1981-1990","impact_1981-1990",5
"64",58,"MSB","Fish specimens","MSB:Fish:6300",17,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.017903,-106.661847,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"South side of the North street crossing of Barr Canal, south end of Albuquerque",NA,"",1988,11,12,"Collector(s): Christopher S. Altenbach, J. Scott Altenbach","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Christopher S. Altenbach, J. Scott Altenbach","2019-05-27 02:49:33.0","impact","1981-1990","impact_1981-1990",5
"62",120,"MSB","Fish specimens","MSB:Fish:5822",23,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1987,9,10,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 02:34:02.0","impact","1981-1990","impact_1981-1990",5
"58",141,"MSB","Fish specimens","MSB:Fish:68470",61,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande, Hwy 66, Old Town Bridge in Albquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:38:47.0","impact","1981-1990","impact_1981-1990",5
"75",71,"MSB","Fish specimens","MSB:Fish:9004",81,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.196977,-106.642444,102,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 03:04:20.0","impact","1981-1990","impact_1981-1990",5
"57",14,"MSB","Fish specimens","MSB:Fish:68483",21,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.069907,-106.658878,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande, US Hwy 85 in Albuquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:41:33.0","impact","1981-1990","impact_1981-1990",5
"138",132,"MSB","Fish specimens","MSB:Fish:19155",28,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.017503,-106.672569,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 0.7 miles downstream of the Rio Bravo Blvd. bridge (NM State HWY 500), Albuquerque.",NA,"",1993,8,4,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach; FIELD BOOK: BKL93-759 (A&B) COMBINED","2019-05-27 03:01:29.0","impact","1991-2000","impact_1991-2000",5
"106",175,"MSB","Fish specimens","MSB:Fish:10922",18,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.10469444,-106.6916667,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at I-40 bridge, Albuquerque.",NA,"",1992,7,9,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-F; Storage: 70% EtOH, 212-F;","2019-05-27 04:25:00.0","impact","1991-2000","impact_1991-2000",5
"139",125,"MSB","Fish specimens","MSB:Fish:19232",11,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,".25 meters-2 meters",1993,10,11,"Collector(s): Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","2019-05-27 03:04:24.0","impact","1991-2000","impact_1991-2000",5
"102",148,"MSB","Fish specimens","MSB:Fish:10944",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1992,7,15,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 04:29:45.0","impact","1991-2000","impact_1991-2000",5
"78",94,"MSB","Fish specimens","MSB:Fish:11194",30,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.92872222,-106.6818611,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Irrigation return, at railroad bridge, ca. 1.0 miles downstream of I-25 bridge, Isleta Pueblo.",NA,"",1992,7,24,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:03:32.0","impact","1991-2000","impact_1991-2000",5
"132",166,"MSB","Fish specimens","MSB:Fish:14485",15,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.929964,-106.681431,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Albuquerque Barr Riverside Drain, return to Rio Grande just upstream of the Atchison, Topeka & Santa Fe Railroad bridge crossing on Isleta Pueblo.",NA,"",1993,7,13,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Rio Grande Irrigation Canal Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach","2019-05-27 04:34:39.0","impact","1991-2000","impact_1991-2000",5
"86",20,"MSB","Fish specimens","MSB:Fish:11126",182,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.97052778,-106.6911111,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 4.4 miles downstream of NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"",1992,7,22,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 01:59:38.0","impact","1991-2000","impact_1991-2000",5
"198",162,"MSB","Fish specimens","MSB:Fish:43251",21,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"1.5 meters",1999,7,15,"Collector(s): Steven P. Platania, Robert K. Dudley, Joshua R. Walters","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, Joshua R. Walters","2019-05-27 05:25:32.0","impact","1991-2000","impact_1991-2000",5
"173",153,"MSB","Fish specimens","MSB:Fish:30386",12,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"1.5 meters",1996,6,27,"Collector(s): Steven P. Platania, Robert K. Dudley, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, Christopher S. Altenbach; EGGS TAKEN FROM MAIN STREAM AND SIDE CHANNELS IN LARVAL SEINE.","2019-05-27 05:02:56.0","impact","1991-2000","impact_1991-2000",5
"94",205,"MSB","Fish specimens","MSB:Fish:11095",44,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"",1992,7,21,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 01:59:40.0","impact","1991-2000","impact_1991-2000",5
"71",224,"MSB","Fish specimens","MSB:Fish:1155",76,"Hybognathus amarus","Cyprinidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.322418,-106.557971,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at bridge, Bernalillo.",NA,"",1943,6,23,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:22:50.0","control","1941-1950","control_1941-1950",5
"82",253,"MSB","Fish specimens","MSB:Fish:1132",65,"Hybognathus amarus","Cyprinidae","unknown; whole organism (formalin-fixed, 70% ethanol)",NA,35.380629,-106.503529,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 0.25 mile below Angostura Diversion Dam, Algodones.",NA,"",1947,10,25,"Collector(s): William J. Koster, G. Mertz","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; Published: 1994. Contribution 69 of Larval Fish Lab, CSU:101pp; Redet. K. R. Bestgen and D.L. Propst.  N=35 counted on 22 March 2002","2019-05-26 21:51:38.0","control","1941-1950","control_1941-1950",5
"12",229,"MSB","Fish specimens","MSB:Fish:1129",1188,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.350556,-106.535497,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande,  2.0 miles north of Bernalillo.",NA,"",1959,2,20,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH; Specimens refixed in 10% formalin, July 1994; still fragile.  Counts are N=1176 or 1149, 1065 and finally, 1188 counted November 2003.","2019-05-26 21:32:41.0","control","1951-1960","control_1951-1960",5
"15",339,"MSB","Fish specimens","MSB:Fish:4987",27,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.232431,-106.594272,2660,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Sandoval Lateral Site 1, somewhere between Skylark Lane and Romero Road, Corrales.",NA,"",1977,7,6,"Collector(s): Charles W. Painter, D. L. Chavez, D. Tague","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Taque","2019-05-27 02:14:43.0","control","1971-1980","control_1971-1980",5
"203",316,"MSB","Fish specimens","MSB:Fish:4432",64,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.239638,-106.587548,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 3.0 miles north of NM State HWY 46 at Corrales bridge.",NA,"",1978,9,8,"Collector(s): Charles W. Painter, D. L. Chavez, David W. Reducker","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. W. Reduker","2019-05-27 03:32:27.0","control","1971-1980","control_1971-1980",5
"211",251,"MSB","Fish specimens","MSB:Fish:4206",16,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.256141,-106.596281,620,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Sandoval Lateral, ca. 0.6 kilometers south of Romero Road at north end of lateral, between NM State HWY 448 and Rio Grande, Corrales.",NA,"",1978,9,8,"Collector(s): Charles W. Painter, D. L. Chavez, David W. Reducker","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. W. Reduker","2019-05-27 03:13:13.0","control","1971-1980","control_1971-1980",5
"221",332,"MSB","Fish specimens","MSB:Fish:4487",30,"Hybognathus amarus","Cyprinidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.383856,-106.490929,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 0.5 mile northwest Algodones.",NA,"",1978,9,29,"Collector(s): Charles W. Painter, Robert P. Reynolds, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, Robert P. Reynolds, D. L. Chavez","2019-05-27 02:07:45.0","control","1971-1980","control_1971-1980",5
