"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"49",126,"MSB","Fish specimens","MSB:Fish:4353",18,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.222784,-106.601974,1000,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Upper Corrales Riverside Drain, 3 mi north NM Hwy 46 at Corrales Bridge.",NA,"",1978,9,8,"Collector(s): Charles W. Painter, David W. Reducker, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. W. Reduker, D. L. Chavez","2019-05-27 03:25:55.0","control","1971-1980","control_1971-1980",5
"50",91,"MSB","Fish specimens","MSB:Fish:4176",63,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.253481,-106.591225,971,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.9 kilometers south of Arroyo de los Montoyas, Corrales.",NA,"",1978,5,21,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 02:45:05.0","control","1971-1980","control_1971-1980",5
"51",92,"MSB","Fish specimens","MSB:Fish:4056",11,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.253481,-106.591225,971,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.9 kilometers south of Arroyo de los Montoyas, Corrales.",NA,"",1978,5,19,"Collector(s): Charles W. Painter, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez","2019-05-27 03:16:23.0","control","1971-1980","control_1971-1980",5
"52",112,"MSB","Fish specimens","MSB:Fish:4462",46,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1978,6,14,"Collector(s): S. P. Gloss, D. L. Chavez","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: S. P. Gloss, D. L. Chavez","2019-05-27 03:10:20.0","control","1971-1980","control_1971-1980",5
"53",89,"MSB","Fish specimens","MSB:Fish:4086",43,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380072,-106.499406,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, area referred to as Angostura Diversion Works, but most likely the Angostura Grant with complex of levees, diversion canals, flumes, and gates.",NA,"",1978,9,29,"Collector(s): Charles W. Painter, Robert P. Reynolds, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, Robert P. Reynolds, D. L. Chavez","2019-05-27 03:25:47.0","control","1971-1980","control_1971-1980",5
"54",79,"MSB","Fish specimens","MSB:Fish:4486",61,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.383856,-106.490929,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 0.5 mile northwest Algodones, San Felipe Indian Reservation.",NA,"",1978,9,29,"Collector(s): Charles W. Painter, Robert P. Reynolds, D. L. Chavez","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, Robert P. Reynolds, D. L. Chavez","2019-05-27 03:13:23.0","control","1971-1980","control_1971-1980",5
"55",72,"MSB","Fish specimens","MSB:Fish:4750",291,"Gambusia affinis","Poeciliidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.385246,-106.478952,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Algodones Riverside Drain, off Rio Grande 0.3 mile north of Algodones, San Felipe Indian Reservation.",NA,"",1978,9,29,"Collector(s): Charles W. Painter, D. L. Chavez, Robert P. Reynolds","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, Robert P. Reynolds","2019-05-27 02:54:48.0","control","1971-1980","control_1971-1980",5
"59",3,"MSB","Fish specimens","MSB:Fish:68521",52,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.211416,-106.612833,210,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande and mouth of flood control canal W of US 85 and Rt. 422 N of Albuquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,16,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:03:13.0","control","1981-1990","control_1981-1990",5
"60",182,"MSB","Fish specimens","MSB:Fish:68508",12,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.225523,-106.597651,5196,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"New Mexico: Bernalillo Co., Rio Grande Drainage. Rio Grande at Corrales Road, N of Albuquerque. Collector(s): G. Clemmer, S. Platania",NA,"",1984,8,15,"Collector(s): G. H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","GeoLocate",NA,"PreservedSpecimen","USGS Fort Collins CO Biological Survey Collections; verbatim collectors: Glenn H. Clemmer, Steven P. Platania, USGS Biological Survey Fort Collins","2019-05-27 02:03:17.0","control","1981-1990","control_1981-1990",5
"61",111,"MSB","Fish specimens","MSB:Fish:5253",11,"Gambusia affinis","Poeciliidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1986,7,13,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 212-K; Storage: 50% ISOP, 212-K; ALSO KRB-611.;","2019-05-27 02:57:54.0","control","1981-1990","control_1981-1990",5
