"","combo","total_request"
"1","control_1941-1950",3
"2","control_1951-1960",1
"3","control_1971-1980",2
"4","control_1981-1990",10
"5","control_1991-2000",10
"6","control_2001-2010",1
"7","impact_1931-1940",6
"8","impact_1941-1950",5
"9","impact_1951-1960",3
"10","impact_1961-1970",1
"11","impact_1971-1980",10
"12","impact_1981-1990",10
"13","impact_1991-2000",10
"14","impact_2011-2020",1
