CatalogNumber,Individual_ID,Fish_Species,year_fish_collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,TREM.META.SKIN,CRUS.LERCYP.SKIN,CRUS.LERCYP.PELVICFIN,TREM.META.MUSCLE,TREM.DIPHUR.MUSCLE,BUCCAL_CAVITY,TREM.N.BODY_CAVITY,MONO.UNKN.PECTORALFIN,MONO.GYRSP.PELVICFIN,ANALFIN,CAUDALFIN,CRUS.FIN.DORSALFIN,MONO.GYRSP.DORSALFIN,GONAD,TREM.DIPHUR.LIVER,TREM.WHITE.LIVER,TREM.P.KIDNEY,TREM.NEASP.EYE,HEART,STOMACH,TREM.DIPHUR.CONNECTIVE_TISSUE,TREM.UNK.CONNECTIVETISSUE,TREM.P.CONNECTIVE_TISSUE,TREM.WHITE.CONN,TREM.ACET.CONNECTIVETISSUE,CEST.LARV.CONNECTIVE_TISSUE,TREM.UNCLEAR.CONN,TREM.CENT.INTESTINE,TREM.DIPHUR.INTESTINE,NEM.CAP.INTESTINE,NEM.CONT.INTESTINE,CEST.B.INTESTINE,TREM.BUC.INTESTINE,NEM.UNK.INTESTINE,NEM.LARV.INTESTINE,MYXO.MYXSP.GILL(NUMBER_OF_CLUSTERS),MYXO.M.GILL,MONO.DACSP.GILL,MONO.GYRSP.GILL,NEM.LARV.GALL BLADDER,UNK.GALL BLADDER,TREM.CENT.FLUSH,TREM.DIPHUR.FLUSH,TREM.P.FLUSH,TREM.UNK.FLUSH,Notes about missing parasites,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1_Box_Number,P1_label:SMB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1_Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2_Box_Number,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2_Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3_Box_Number,P3_Label:fishID,P3_label:Parasites_Code,P3_Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,Life Stage 4,Organ 4,How preserved 4,barcode 4,P4 Box number,Parasite label 4,Parasite label  4,P4 Notes,Parasite Species 5,Number of individuals 5,parasite collector 5,parasite identifier 5,Life Stage 5,Organ 5,How preserved 5,barcode 5,P5 Box number,Parasite label 5 fish ID,Parasite label  5,P5 Notes,Parasite Species 6,Number of individuals 6,parasite collector 6,parasite identifier 6,Life Stage 6,Organ 6,How preserved 6,barcode 6,P6 Box number,Parasite label 6 fish ID,Parasite label  6,P6 Notes,Parasite Species 7,Number of individuals 7,parasite collector 7,parasite identifier 7,Life Stage 7,Organ 7,How preserved 7,barcode 7,P7 Box number,Parasite label 7 fish ID,Parasite label  7,P7 Notes
MSB:Fish:124155,MSB 124155-1,Pimephales promelas,2021,10,5,JAR9781F,KL,05/05/2025,,54,44,1851.7,KL,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,0,0,0,0,,MSB 124155-1,Pimephales promelas,JAR9781F,Dactylogyrus sp,2,KL,KL,NA,Gill,70% etoh,P6K97,,MSB 124155-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124143,MSB 124143-1,Pimephales promelas,2021,10,7,JAR9750F,WM,05/12/2025,,51,43,1240.2,WM KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124143-1,Pimephales promelas,JAR9750F,Dactylogyrus sp,1,KL,KL,NA,Gill,70% etoh,P6K9J,,MSB 124143-1,MONO.DACSP.GILL,,Diplostomulum huronense,1,KL,KL,Metacercariae,Connective tissue,70% etoh,P6K7X,,MSB 124143-1,TREM.DIPHUR.CONNECTIVETISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124143,MSB 124143-2,Pimephales promelas,2021,10,7,JAR9766F,WM,05/12/2025,,51,43,1430.1,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124146,MSB 124146-1,Pimephales promelas,2021,11,11,JAR9763F,WM,05/12/2025,,62,57,4042.3,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,0,0,0,0,,MSB 124146-1,Pimephales promelas,JAR9763F,Diplostomulum huronense,1,KL,KL,Metacercariae,Connective tissue,70% etoh,P6K9G,,MSB 124146-1,TREM.DIPHUR.CONNECTIVETISSUE,,Myxobolus sp.,1,KL,KL,NA,Gill,70% etoh, P6K9H,,MSB 124146-1,PROT.MYXSP.GILL,,Dactylogyrus sp,1,KL,KL,NA,Gill,70% etoh,P6K9I,,MSB 124146-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124149,MSB 124149-1,Pimephales promelas,2022,4,7,JAR9764F,WM,05/12/2025,,54,45,1979,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:124163,MSB 124163-1,Pimephales promelas,2022,11,10,JAR9767F,KL,05/12/2025,,50,41,1281,KL,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,,MSB 124163-1,Pimephales promelas,JAR9767F,Dactylogyrus sp,1,KL,KL,NA,Gill,70% etoh,P6K9F,,MSB 124163-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4045,MSB 4045-4,Pimephales promelas,1977,5,12,JAR11639F,BP,07-21-2025,07-21-2025,49,39,19916,GC,F,"Arthropod, vegetation ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4045,MSB 4045-5,Pimephales promelas,1977,5,12,JAR11630F,EO,07-21-2025,07-21-2025,49,41,1667,JG,F,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4045,MSB 4045-3,Pimephales promelas,1977,5,12,JAR11636F,EO,07-21-2025,07-21-2025,46,36,1210,BP,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,MSB 4045-3,Pimephales promelas,JAR11636F,Centrovarium sp,2,BP,BP,Metacercariae,Flush,70% etoh,P6KWT,10,MSB 4045-3,TREM.CENT.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:727,MSB 727-2,Pimephales promelas,1949,7,28,JAR11642F,BP,07-23-2025,07-23-2025,32,27,306,GC,NA,NA,Fish presenting with snub-nose deformation resulting in superior mouth form as opposed to terminal placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,MSB 727-2,Pimephales promelas,JAR11642F,Dactylogyrus sp.,1,GC,GC,Adult,Gill,70% etoh,P6KTJ,10,MSB 727-2,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:680,MSB 680-5,Pimephales promelas,1959,2,24,JAR11628F,EO,07-23-2025,07-23-2025,42,34,600,JG,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,MSB 680-5,Pimephales promelas,JAR11628F,Centrovarium sp.,1,JG,JG,Metacercariae,Flush,70% etoh,P6KRY,10,MSB 680-5,TREM.CENT.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4045,MSB 4045-2,Pimephales promelas,1977,5,12,JAR11633F,BP,07-21-2025,07-23-2025,49,39,1415,JG,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,,MSB 4045-2,Pimephales promelas,JAR11633F,Dactylogyrus sp.,1,JG,JG,Adult,Gill,70% etoh,P6KRZ,10,MSB 4045-2,MONO.DACSP.GILL,,Myxobolus sp.,7,JG,JG,Myxo spore,Gill,70% etoh,P6KS0,10,MSB 4045-2,PROT.MYXSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:4045,MSB 4045-1,Pimephales promelas,1977,5,12,JAR11631F,EO,07-21-2025,07-23-2025,53,44,2208,GC,F,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,MSB 4045-1,Pimephales promelas,JAR11631F,Myxobolus sp.,2,GC,GC,Myxo spore,Gill,70% etoh,P6KTH,10,MSB 4045-1,PROT.MYXSP,,Dactylogyrus sp.,1,GC,GC,Adult,Gill,70% etoh,P6KTI,10,MSB 4045-1,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:8990,MSB 8990-1,Pimephales promelas,1990,10,28,JAR11696F,BP,07-23-2025,07-23-2025,51,39,1373,GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:8990,MSB 8990-3,Pimephales promelas,1990,10,28,JAR11697F,EO,07-23-2025,07-23-2025,53,43,1605,GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:727,MSB 727-3,Pimephales promelas,1949,7,28,JAR11648F,EO,07-23-2025,07-23-2025,37,30,492,BP GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:9040,MSB 9040-2,Pimephales promelas,1990,10,29,JAR11692F,BP,07-23-2025,07-23-2025,34,27,373,EO GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,,MSB 9040-2,Pimephales promelas,JAR11692F,Centrovarium sp.,1,EO,EO,Metacercariae,Flush,70% etoh,P6KRD,10,MSB 9040-2,TREM.CENT.FLUSH,,Diplostomatidae,1,EO,EO,Metacercariae,Connective tissue,70% etoh,P6KRE,10,MSB 9040-2,TREM.DIPHUR.CONNECTIVETISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:8990,MSB 8990-4,Pimephales promelas,1990,10,28,JAR11695F,EO,07-23-2025,07-23-2025,47,38,1097,EO GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,MSB 8990-4,Pimephales promelas,JAR11695F,Dactylogyrus sp.,1,EO GC,EO GC,Adult,Gill,70% etoh,P6KRF,10,MSB 8990-4,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:680,MSB 680-2,Pimephales promelas,1959,2,24,JAR11638F,BP,07-23-2025,07-23-2025,54,41,1494,JG,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,TREM.UNK lost,MSB 680-2,Pimephales promelas,JAR11638F,Centrovarium sp.,1,JG,JG,Metacercariae,Flush,70% etoh,P6KRX,10,MSB 680-2,TREM.CENT.FLUSH,,Diplostomulum sp. ,1,JG,JG,Metacercariae,Flush,70% etoh,P6KRW,10,MSB 680-2,TREM.DIPS.FLUSH,,Dactylogyrus sp.,1,JG,JG,Adult,Gill,70% etoh,P6KSI,10,MSB 680-2,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:9040,MSB 9040-3,Pimephales promelas,1990,10,29,JAR11691F,EO,07-23-2025,07-23-2025,48,39,1043,GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 9040-3,Pimephales promelas,JAR11691F,Digenea sp. ,1,GC,GC,Metacercariae,Connective tissue,70% etoh,P6KSJ,10,MSB 9040-3,TREM.P.CONNECTIVETISSUE,,Diplostomatidae sp. ,3,GC,GC,Metacercariae,Connective tissue,70% etoh,P6KSK,10,MSB 9040-3,TREM.DIPHUR.CONNECTIVETISSUE,,Diplostomatidae sp.,4,GC,GC,Metacercariae,Liver,70% etoh,P6KSL,10,MSB 9040-3,TREM.DIPHUR.LIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:9040,MSB 9040-5,Pimephales promelas,1990,10,29,JAR11689F,BP,07-23-2025,07-23-2025,34,27,382,JG GC,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,,MSB 9040-5,Pimephales promelas,JAR11689F,Centrovarium sp.,1,JG GC,JG GC,Metacercariae,Flush,70% etoh,P6KSM,10,MSB 9040-5,TREM.CENT.FLUSH,,Diplostomulum sp. ,6,JG GC,JG GC,Metacercariae,Intestine,70% etoh,P6KSN,10,MSB 9040-5,TREM.DIPS.INTESTINE,,Centrovarium sp.,1,JG GC,JG GC,Metacercariae,Intestine,70% etoh,P6KSO,10,MSB 9040-5,TREM.CENT.INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:727,MSB 727-1,Pimephales promelas,1949,7,28,JAR11645F,EO,07-23-2025,07-23-2025,34,27,359,GC,NA,Arthropod,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,MSB 727-1,Pimephales promelas,JAR11645F,Diplostomatidae sp.,1,GC,GC,Metacercariae,Flush,70% etoh,P6KSP,10,MSB 727-1,TREM.DIPHUR.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:9040,MSB 9040-4,Pimephales promelas,1990,10,29,JAR11690F,EO,07-23-2025,07-23-2025,50,41,1262,EO GC,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 9040-4,Pimephales promelas,JAR11690F,Digenea sp. ,8,EO GC,EO GC,Metacercariae,Connective tissue,70% etoh,P6KRG,10,MSB 9040-4,TREM.P.CONNECTIVETISSUE,,Diplostomatidae sp.,6,EO GC,EO GC,Metacercariae,Connective tissue,70% etoh,P6KRJ,10,MSB 9040-4,TREM.DIPHUR.CONNECTIVETISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:8990,MSB 8990-3,Pimephales promelas,1990,10,28,JAR11698F,BP,07-23-2025,07-23-2025,48,37,906,JG GC,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:727,MSB 727-4,Pimephales promelas,1949,7,28,JAR11650F,EO,07-23-2025,07-23-2025,35,28,418,BP GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,MSB 727-4,Pimephales promelas,JAR11650F,Digenea sp.,1,BP GC,BP GC,Metacercariae,Connective tissue,70% etoh,P6KWU,10,MSB 727-4,TREM.P.CONNECTIVETISSUE,,Diplostomatidae sp.,13,BP GC,BP GC,Metacercariae,Connective tissue,70% etoh,P6KRI,10,MSB 727-4,TREM.DIPHUR.CONNECTIVETISSUE,,Capillaria sp.,1,BP GC,BP GC,Adult,Intestine,70% etoh,P6KRH,10,MSB 727-4,NEM.CAP.INT,,Contracaecum sp.,2,BP GC,BP GC,Adult,Intestine,70% etoh,P6KWV,10,MSB 727-4,NEM.CONT.INT,,Dactylogyrus sp.,2,BP GC,BP GC,Adult,Gill,70% etoh,P6KRK,10,MSB 727-4,MONO.DACSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:680,MSB 680-4,Pimephales promelas,1959,2,24,JAR11635F,BP,07-23-2025,07-23-2025,69,54,3918,EO GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,MSB 680-4,Pimephales promelas,JAR11635F,Diplostomatidae sp. ,2,EO GC,EO GC,Metacercariae,Connective tissue,70% etoh,P6KRS,10,MSB 680-3,TREM.DIPHUR.CONNECTIVETISSUE,,Digenea,3,EO GC,EO GC,Metacercariae,Flush,70% etoh,P6KRT,10,MSB 680-4,TREM.P.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:8990,MSB 8990--5,Pimephales promelas,1990,10,28,JAR11694F,BP,07-23-2025,07-24-2025,44,34,793,JG GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 8990-5,Pimephales promelas,JAR11694F,Diplostomatidae sp. ,1,JG GC,JG GC,Metacercariae,Connective tissue,70% etoh,P6KRP,10,MSB 8990-5,TREM.DIPHUR.CONNECTIVETISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:9040,MSB 9040-1,Pimephales promelas,1990,10,29,JAR11693F,EO,07-23-2025,07-24-2025,50,41,1104,GC,NA,NA,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 9040-1,Pimephales promelas,JAR11693F,Gyrodactylus sp.,1,GC,GC,Adult,Pelvic fin,70% etoh,P6KRO,10,MSB 9040-1,MONO.GYRSP.PELVICFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7252,MSB 7252-5,Pimephales promelas,1989,11,19,JAR11656F,JG,07-24-2025,07-24-2025,33,27,332,GC,F,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 7252-5,Pimephales promelas,JAR11656F,Biacetabulum sp.,1,GC,GC,Larval,Intestine,70% etoh,P6M98,10,MSB 7252-5,CEST.B.INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:7252,MSB 7252-4,Pimephales promelas,1989,11,19,JAR11659F,EO,07-24-2025,07-24-2025,54,44,1801,EO GC,F,NA,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TREM.N lost,MSB 7252-4,Pimephales promelas,JAR11659F,Dactylogyrus sp. ,1,EO GC,EO GC,Adult,Gill,70% etoh,P6MAW,10,MSB 7252-4,MONO.DACSP.GILL,,Digenea,3,EO GC,EO GC,Metacercariae,Connective tissue,70% etoh,P6MAX,10,MSB 7252-4,TREM.P.CONNECTIVETISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:680,MSB 680-3,Pimephales promelas,1959,2,24,JAR11632F,EO,07-23-2025,07-24-2025,63,51,2575,GC,NA,NA,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MSB 680-3,Pimephales promelas,JAR11632F,Gyrdactylus sp.,2,GC,GC,Adult,Pelvic fin,70% etoh,P6KRM,10,MSB 680-3,MONO.GYRSP.PELVICFIN,Label says 1 individual,Diplostomatidae,4,GC,GC,Metacercariae,Connective tissue,70% etoh,P6KRN,10,MSB 680-3,TREM.DIPHUR.CONNECTIVETISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:9023,MSB 9023-5,Pimephales promelas,1990,10,28,JAR11653F,EO,07-24-2025,07-24-2025,39,32,563,JG GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,0,0,0,0,,MSB 9023-5,Pimephales promelas,JAR11653F,Myxobolus sp.,2,JG GC,JG GC,Myxo spore,Gill,70% etoh,P6KRQ,10,MSB 9023-5,PROT.MYXSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:727,MSB 727-5,Pimephales promelas,1949,7,28,JAR11647F,BP,07-23-2025,07-24-2025,31,23,254,BP EO GC,NA,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,,MSB 727-5,Pimephales promelas,JAR11647F,Dactylogyrus sp. ,2,BP GC,BP GC,Adult,Gill,70% etoh,P6KRR,10,MSB 727-5,MONO.DACSP.GILL,,Diplostomatidae,14,BP EO GC,BP EO GC,Metacercariae,"Connective tissue, Flush",70% etoh,P6KRU,10,MSB 727-5,TREM.DIPHUR,,Centrovarium sp.,1,BP GC,BP GC,Metacercariae,Flush,70% etoh,P6KRV,10,MSB 727-5,TREM.CENT.FLUSH,,Digenea,2,BP GC,BP GC,Metacercariae,Flush,70% etoh,P6KRL,10,MSB 727-5,TREM.P.FLUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:680,MSB 680-1,Pimephales promelas,1959,2,24,JAR11629F,EO,07-23-2025,07-24-2025,40,33,661,JG GC,F,NA,Some of the caudal fin missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
