CatalogNumber,Individual_ID,Fish_Species,Year_Fish_Collected,month_fish_collected,day_fish_collected,Fish_Barcode,Dissector,Dissection_Date,Completion_Date,Total_Length_mm,Standard_Length_mm,Weight_mg,Examiner,Sex,Gut_Contents,Notes,SKIN,Muscle,BUCCAL_CAVITY,BODY_CAVITY,PECTORALFIN,PELVICFIN,ANALFIN,CYST.UNKN.CAUDALFIN,CYST.UNK.DORSALFIN,GONAD,LIVER,KIDNEY,TREM.DIPS.EYE,HEART,STOMACH,NEMA.L.CONNECTIVE_TISSUE,NEMA.STY.INTESTINE,CEST.BOTSP.INTESTINE,MONO.SALSP.GILL,MONO.SS.GILLS,CYST.UNK.GILL,MYXO.MXYID.GALLBLADDER(PRESENCE1_ABSENCE0),CRUS.LERSP.FLUSH,Notes_details_about_parasites_missing,MSB:Fish_catalog_number,Fish_Species,Fish_Barcode,P1_Species,P1_Number_of_individuals,P1_collector,P1_identifier,P1_Life_Stage,P1_Organ_Found,P1_preservation,P1_barcode,P1 Box Number,P1_label:MSB_FISH_CATALOG_NUMBER,P1_label:PARASITE_CODE,P1 Notes,P2_Species,P2_Number_of_individuals,P2_collector,P2_identifier,P2_Life_Stage,P2_Organ,P2_preservation,P2_barcode,P2 Box Number,P2_label:SMB_FISH_CATALOG_NUMBER,P2_label:PARASITE_CODE,P2 Notes,P3_Species,P3_Number_of_individuals,P3_collector,P3_identifier,P3_Life_Stage,P3_Organ,P3_How_preserved,P3_barcode,P3 Box Number,P3_Label:fishID,P3_label:Parasites_Code,P3 Notes,Parasite Species 4,Number of individuals 4,parasite collector 4,parasite identifier 4,P4_Life_Stage,P4_Organ,P4_How_preserved,P4_barcode,P4 Box_number,P4_Label:fishID,P4_label:Parasites_Code,P4 Notes,P5_Species,P5_Number_of_individuals,P5_collector,P5_identifier,P5_Life_Stage,P5_Organ,P5_How_preserved,P5_barcode,P5 Box Number,P5_Label:fishID,P5_label:Parasites_Code,P5 Notes
MSB:Fish:4750,MSB 4750-4,Gambusia affinis,1978,9,29,JAR8813F,BP,07-07-2025,07-07-2025,39,31,703,KL,F,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,NA,0,,MSB 4750-4,Gambusia affinis,JAR8813F,Salsuginus sp.,8,KL,KL,Adult,Gill,70% etoh,P6L3E,5,MSB 4750-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-4,Gambusia affinis,1987,9,9,JAR8806F,EO,07-07-2025,07-07-2025,34,27,481,KL,F,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,0,,MSB 5811-4,Gambusia affinis,JAR8806F,Salsuginus sp.,2,KL,KL,Adult,Gill,70% etoh,P6L3D,5,MSB 5811-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-4,Gambusia affinis,1993,8,4,JAR8799F,EO,07-07-2025,07-07-2025,34,27,460,BP,F,NA,,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CYST.UNK.CAUDALFIN destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-2,Gambusia affinis,1939,5,13,JAR8815F,EO,07-07-2025,07-07-2025,41,33,887,GC,F,NA,,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,MSB 1098-2,Gambusia affinis,JAR8815F,Salsuginus sp.,1,GC,GC,Adult,Gill,70% etoh,P6L68,5,MSB 1098-2,MONO.SALSP.GILL,,Unknown,3,GC,GC,Unknown,Caudal Fin,70% etoh,P6L67,5,MSB 1098-2,CYST.UNKN.CAUDALFIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-4,Gambusia affinis,1939,5,13,JAR8819F,EO,07-07-2025,07-07-2025,32,25,352,KL,F,NA,,0,NA,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,MSB 1098-4,Gambusia affinis,JAR8819F,Unknown cyst,5,KL,KL,Unknown,Caudal fin,70% etoh,P6L3G,5,MSB 1098-4,CYST.UNKN.CAUDALFIN,,Salsuginus sp. ,1,KL,KL,Adult,Gill,70% etoh,P6L3H,5,MSB 1098-4,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:5811,MSB 5811-3,Gambusia affinis,1987,9,9,JAR8805F,BP,07-07-2025,07-07-2025,35,27,556,JG KL,NA,Arthropod,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,cyst lost,MSB 5811-3,Gambusia affinis,JAR8805F,Salsuginus sp.,5,JG,JG,Adult,Gill,70% etoh,P6L3F,5,MSB 5811-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:19170,MSB 19170-2,Gambusia affinis,1993,8,4,JAR8801F,EO,07-07-2025,07-07-2025,35,27,481,BP KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,cyst destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1100,MSB 1100-3,Gambusia affinis,1939,2,26,JAR8823F,JG,07-08-2025,07-08-2025,33,25,326,KL,NA,NA,,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,NA,0,,MSB 1100-3,Gambusia affinis,JAR8823F,Unknown cyst,5,KL,KL,NA,Gill,70% etoh,P6L5Q,5,MSB 1100-3,CYST.UNK.GILL,,Salsuginus sp. ,1,KL,KL,Adult,Gill,70% etoh,P6L5R,5,MSB 1100-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:1098,MSB 1098-3,Gambusia affinis,1939,5,13,JAR8817F,EO,07-07-2025,07-08-2025,30,24,257,KL,NA,"Arthropod, nematode",,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,,MSB 1098-3,Gambusia affinis,JAR8817F,Free living nematode,1,KL,KL,Adult,Intestine,70% etoh,P6L5O,5,MSB 1098-3,NEMA.STY.INTESTINE,"Pictured, not a parasite of fish",Salsuginus sp. ,1,KL,KL,Adult,Gill,70% etoh,P6L5P,5,MSB 1098-3,MONO.SALSP.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB:Fish:280,MSB 280-1,Gambusia affinis,1949,10,28,JAR8833F,BP,07-08-2025,07-08-2025,33,26,379,BP,NA,NA,Patterned cysts on caudal fin,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,0,1 cyst destroyed,MSB 280-1,Gambusia affinis ,JAR8833F,Unknown cyst,2,BP,BP,NA,Gill,70% etoh,P6L3V,5,MSB 280-1,CYST.UNK.GILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
