"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"25","MSB:Fish:18879",1994,1,25,"MSB 18879-2","JAR10991F","KL","KL","08-06-2025",NA,41,33,511,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"26","MSB:Fish:18935",1994,5,10,"MSB 18935-5","JAR11786F","EO","CW","08-04-2025",NA,31,26,296,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"27","MSB:Fish:18935",1994,5,10,"MSB 18935-1","JAR11773F","EO","BP EO ","08-04-2025",NA,47,38,1220,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"28","MSB:Fish:18935",1994,5,10,"MSB 18935-4","JAR11785F","EO","EO","08-04-2025","F",44,37,855,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"29","MSB:Fish:18935",1994,5,10,"MSB 18935","JAR11787F","BP","CW","08-04-2025","F",46,37,1163,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"30","MSB:Fish:18935",1994,5,10,"MSB 18935-2","JAR11776F","BP","BP","08-04-2025",NA,42,33,730,"control","control_1991-2000",35.28302778,-106.5981389,"trem.meta",0
"31","MSB:Fish:19164",1993,8,4,"MSB 19164-4","JAR11009F","KL","KL","08-04-2025",NA,43,35,654,"impact","impact_1991-2000",35.008358,-106.678909,"trem.meta",0
"32","MSB:Fish:19164",1993,8,4,"MSB 19164-1","JAR11010F","KL","KL","08-04-2025",NA,44,37,772,"impact","impact_1991-2000",35.008358,-106.678909,"trem.meta",0
"33","MSB:Fish:19164",1993,8,4,"MSB 19164-5","JAR11002F","KL","KL","08-04-2025",NA,48,38,964,"impact","impact_1991-2000",35.008358,-106.678909,"trem.meta",0
"34","MSB:Fish:19164",1993,8,4,"MSB 19164-3","JAR11006F","KL","KL","08-04-2025",NA,43,35,698,"impact","impact_1991-2000",35.008358,-106.678909,"trem.meta",0
"35","MSB:Fish:19164",1993,8,4,"MSB 19164-2","JAR11005F","KL","KL","08-04-2025",NA,47,38,870,"impact","impact_1991-2000",35.008358,-106.678909,"trem.meta",0
"36","MSB:Fish:19538",1994,9,16,"MSB 19538-1","JAR10976F","KL","KL","08-06-2025",NA,34,27,301,"impact","impact_1991-2000",34.85683333,-106.7208056,"trem.meta",0
"37","MSB:Fish:19538",1994,9,16,"MSB 19538-5","JAR10975F","KL","KL","08-06-2025","F",42,34,594,"impact","impact_1991-2000",34.85683333,-106.7208056,"trem.meta",0
"38","MSB:Fish:19538",1994,9,16,"MSB 19538-3","JAR10982F","KL","KL","08-06-2025",NA,47,37,765,"impact","impact_1991-2000",34.85683333,-106.7208056,"trem.meta",0
"39","MSB:Fish:19538",1994,9,16,"MSB 19538-4","JAR10985F","KL","KL","08-06-2025",NA,40,32,544,"impact","impact_1991-2000",34.85683333,-106.7208056,"trem.meta",0
"40","MSB:Fish:19538",1994,9,16,"MSB 19538-2","JAR10979F","KL","KL","08-06-2025",NA,39,32,448,"impact","impact_1991-2000",34.85683333,-106.7208056,"trem.meta",0
