"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","trem.meta","crus.lercyp","trem.diphur","trem.n","mono.gyrsp","mono.unk","trem.white","trem.p","trem.neasp","trem.unk","trem.acet","trem.unclear","cest.larv","nem.cont","trem.cent","nem.cap","cest.b","trem.buc","nem.unk","nem.larv","myxo.myxsp","myxo.m","mono.dacsp"
"36","MSB:Fish:19538",1994,9,16,"MSB 19538-1","JAR10976F","KL","KL","08-06-2025",NA,34,27,301,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,2,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"37","MSB:Fish:19538",1994,9,16,"MSB 19538-5","JAR10975F","KL","KL","08-06-2025","F",42,34,594,"impact","impact_1991-2000",34.85683333,-106.7208056,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"38","MSB:Fish:19538",1994,9,16,"MSB 19538-3","JAR10982F","KL","KL","08-06-2025",NA,47,37,765,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2
"39","MSB:Fish:19538",1994,9,16,"MSB 19538-4","JAR10985F","KL","KL","08-06-2025",NA,40,32,544,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"40","MSB:Fish:19538",1994,9,16,"MSB 19538-2","JAR10979F","KL","KL","08-06-2025",NA,39,32,448,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,2
"41","MSB:Fish:19595",1994,10,10,"MSB 19595-5","JAR11077F","KL","KL","08-11-2025",NA,62,51,2003,"impact","impact_1991-2000",34.85683333,-106.7208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"42","MSB:Fish:19661",1994,10,10,"MSB 19661-3","JAR11004F","KL","KL","08-05-2025",NA,50,40,1112,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,4
"43","MSB:Fish:19661",1994,10,10,"MSB 19661-1","JAR10999F","KL","KL","08-05-2025","F",47,38,882,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"44","MSB:Fish:19661",1994,10,10,"MSB 19661-4","JAR11001F","KL","KL","08-05-2025",NA,53,43,1364,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"45","MSB:Fish:19661",1994,10,10,"MSB 19661-2","JAR11008F","KL","KL","08-05-2025",NA,48,39,NA,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"46","MSB:Fish:19661",1994,10,10,"MSB 19661-5","JAR11007F","KL","KL","08-05-2025",NA,46,37,756,"impact","impact_1991-2000",34.905272,-106.685564,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,6
