,InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified,CI,decade,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,ARTHROPODS_GUTCONTENTS,NotesOnSpecimenPriorToDissection,Skin,BuccalCavity,BodyCavity,CYST.SMALL.PectoralFin,PelvicFin,MONO.G.AnalFin,CYST.FIN.CaudalFin,CYST.SMALL.CaudalFin,CYST.UNKN.CAUDALFIN,CYST.BIG.CAUDALFIN,DorsalFin,Gonad,ACANTH.NEMOR.Liver,META.BOLISM.LIVER,Spleen,CYST.UNK.SPLEEN,TREM.POST.Kidney,TREM.POS.Eye,TREM.POST.Eye,TREM.IS.Eye,TREM.SHY.EYE,TREM.SCORP.EYE,Heart,MYX.STWY.GallBladder,CYST.UNK.GALLBLADDER,Stomach,NEM.OODLE.INTESTINE,NEM.W.INTESTINE,NEM.ESIS.INTESTINE,NEM.UNK.INTESTINE,NEM.LARV.INTESTINE,TREM.GA.Intestine,CEST.WOAD.Intestine,CEST.MIPI.INTESTINE,CEST.TIRGA.INTESTINE,CEST.PROT.Intestine,CEST.UNK.INTESTINE,CEST.Y.INTESTINE,NEM.LARV.CONNECTIVETISSUE,ACANTH.BLVE.CONNECTIVETISSUE,ACANTH.NEMOR.CONNECTIVETISSUE,MYX.STWY.CONNECTIVETISSUE,META.BOLISM.CONNECTIVETISSUE,TREM.IS.CONNECTIVETISSUE,TREM.POS.ConnectiveTissue,TREM.POST.ConnectiveTissue,TREM.UNK.CONNECTIVETISSUE,CYST.UNK.ConnectiveTissue,META.Z.Gill,MONO.SASE.Gill,MYX.THIN.GILL,MYX.UPC.GILL,CYST.UNK.GILL,NEM.OODLE.FLUSH,NEM.PRETZ.FLUSH,ACANTH.NEMOR.FLUSH,TREM.POS.FLUSH,TREM.POST.FLUSH,TREM.IS.FLUSH,META.BOLISM.FLUSH,CEST.MIPI.Flush,CEST.PROT.Flush,CEST.UNK.FLUSH,ACANTH.NEMOR.VOUCH,ACANTH.BLVE.VOUCH,CEST.PROT.VOUCH,CEST.WOAD.VOUCH,CEST.MIPI.VOUCH,CEST.TRIGA.VOUCH,CEST.UNK.VOUCH,CEST.Y.VOUCH,META.BOLISM.VOUCH,META.Z.VOUCH,NEM.PRETZ.VOUCH,NEM.OODLE.VOUCH,NEM.ESIS.VOUCH,NEM.W.VOUCH,NEM.LARV.VOUCH,TREM.GA.VOUCH,TREM.SCORP.VOUCH,TREM.SHY.VOUCH,TREM.IS.VOUCH,TREM.POS.VOUCH,TREM.POST.VOUCH,TREM.UNK.VOUCH,MONO.SASE.VOUCH,MONO.G.VOUCH,MYX.STWY.VOUCH,MYX.THIN.VOUCH,MYX.UPC.VOUCH,CYST.FIN.VOUCH,CYST.UNKN.VOUCH,MONO.SASE.SLIDE
,TU,,121273,32,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank between mouth of Coburn and Bogalusa Creek,,,1981,4,30,Suttkus and Sorensen,,,,,,,,121273_02,JT DMDM,08/02/2024,,37,28,540,NA,Randomly selected from a group of 26 due to size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,0,0,0,0,0,0,0,0,
,TU,,121273,32,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank between mouth of Coburn and Bogalusa Creek,,,1981,4,30,Suttkus and Sorensen,,,,,,,,121273_01,JT CJW,08/02/2024,NA,36,28,486,Y,Randomly selected from 26 fish due to size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,4,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,4,0,0,0,0,0,0,
,TU,,197197,26,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank 1.0 miles below LA Hwy 10,,,2004,7,17,RD and JS Suttkus,,,,,,,,197197_04,DMDM,08/02/2024,F,33,27,351,NA,Randomly selected from 10 due to size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,5,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,5,0,0,0,0,0,0,
,TU,,197233,14,Gambusia affinis,,,,,,,,,,,,,Pearl River along left bank opposite Bogalusa Creek.,,,2004,7,17,RD and JS Suttkus,,,,,,,,197233_03,CJW KL,08/02/2024,NA,34,27,389,Y,Randomly selected from 7 due to size (seven less than 27 mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,4,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,0,4,0,0,0,0,0,0,
,TU,,197233,14,Gambusia affinis,,,,,,,,,,,,,Pearl River along left bank opposite Bogalusa Creek.,,,2004,7,17,RD and JS Suttkus,,,,,,,,197233_01,DMDM,08/02/2024,NA,29,22,193,Y,Randomly selected from group of 7 due to size (seven less than 27 mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,
,TU,,197197,26,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank 1.0 miles below LA HW4,,,2004,7,17,RD and JS Suttkus,,,,,,,,197197_01,jt dmdm,08/02/2024,F,33,26,359,na,randomly selected from 10 due to size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,3,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,0,3,0,1,0,0,0,0,
,TU,,197197,26,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank 1.0 miles below LA HW4,,,2004,7,17,RD and JS Suttkus,,,,,,,,197197_02,kl,08/02/2024,F,47,38,1492,na,"randomly selected from 10 due to size, liver had large dark spot- necrotic?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5,NA,0,0,0,8,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,NA,0,8,0,0,0,0,0,0,
,TU,,197233,14,Gambusia affinis,,,,,,,,,,,,,Pearl River along left bank opposite Bogalusa Creek.,,,2004,7,17,RD and JS Suttkus,,,,,,,,197233_04,gmc,08/02/2024,na,41,33,858,na,Randomly selected from 7 due to size (seven less than 27 mm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,,na,NA,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,0,2,0,0,0,0,0,1,
,TU,,121273,32,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank between mouth of Coburn and Bogalusa Creek,,,1981,4,30,Suttkus and Sorensen,,,,,,,,121273_03,JT KL,08/02/2024,F,49,39,1209,NA,Randomly selected from a group of 26 due to size,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,7,NA,0,0,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,NA,0,1,0,0,0,0,2,0,
,TU,,197197,26,Gambusia affinis,,,,,,,,,,,,,Pearl River along right bank 1.0 miles below LA Hwy 10,,,2004,7,17,RD and JS Suttkus,,,,,,,,197197_03,CJW,08/02/2024,NA,34,28,376,NA,Randomly selected from 10 due to size. Anal fin accidentally removed during dissection - in dish. Gut empty.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,9,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,9,0,0,0,0,0,0,
