CatalogNumber,IndividualFishID,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,Dissector,DissectionDate,TotalLength_mm,StandardLength_mm,weight_mg,Sex,Date_datasheet_complete,Notes,TREM.LARV.Skin,MYX.S.SKIN,MYX.F.SKIN,CYST.UNK.SKIN,COPE.HNY.SKIN,BuccalCavity,BodyCavity,TREM.LARV.PectoralFin,MYX.F.PECTORALFIN,MYX.F.PELVICFIN,MYX.F.ANALFIN,MYX.F.CAUDALFIN,MYX.F.DORSALFIN,CYST.B.PECTORALFIN,CYST.UNK.PELVIC,TREM.LARV.PelvicFin,MYX.F.PELVICFIN,TREM.LARV.AnalFin,MYX.F.ANALFIN,TREM.LARV.CaudalFin,META.UNK.CAUDALFIN,MYX.F.CAUDALFIN,MYX.F.DorsalFin,CILLIATE.FU.PectoralFin,Gonad,Liver,Spleen,MYX.KL.Kidney,meta.unk.eye,MYX.E.EYE,Heart,MYX.CM.GALLBLADDER,MYX.GM.Gallbladder,myx.bna.gallbladder,MYX.UNK.SWIMBLADDER,CEST.MEGAN.STOMACH,NEM.B.STOMACH,NEM.LARV.STOMACH,NEM.CER.Stomach,CEST.ARCH.INTESTINE,CEST.WS.INTESTINE,CEST.TRI.INTESTINE,CEST.MEGAN.INTESTINE,CEST.UNK.INTESTINE,NEM.AM.INTESTINE,NEM.B.INTESTINE,nem.ooh.intestine,NEM.CER.INTESTINE,NEM.CERL.INTESTINE,NEM.CTR.INTESTINE,NEM.UNK.Intestine,TREM.SEP.INTESTINE,TREM.ORS.INTESTINE,TREM.CV.INTESTINE,META.UNK.INTESTINE,CYST.DE.INTESTINE,CYST.UNKN.Intestine,meta.unk.connectivetissues,CYST.UNKN.ConnectiveTissue,MYX.G.GILL,MYX.E.GILL,COPE.HNY.GILL,CILIATE.FU.GILL,CYST.UNKN.Gill,MONO.NID.Flush,Myx.g.Flush,CILIATE.VOUCH,CEST.ARCH.VOUCH,CEST.WS.VOUCH,CEST.TRI.VOUCH,CEST.MEGAN.VOUCH,CEST.UNK.VOUCH,COPE.HNY.VOUCH,NEM.AM.VOUCH,NEM.B.VOUCH,nem.ooh.vouch,NEM.CER.VOUCH,NEM.CERL.VOUCH,NEM.CTR.VOUCH,NEM.UNK.VOUCH,META.UNK.VOUCH,TREM.SEP.VOUCH,TREM.ORS.VOUCH,TREM.CV.VOUCH,TREM.LARV.SKIN.VOUCH,TREM.LARV.FIN.VOUCH,TREM.SEP.VOUCH,MONO.NID.VOUCH,MYX.E.VOUCH,MYX.GM.VOUCH,MYX.KL.VOUCH,MYX.S.VOUCH,MYX.BNA.VOUCH,MYX.G.VOUCH,MYX.CM.VOUCH,MYX.F.VOUCH,CYST.DE.VOUCH,CYST.UNKN.VOUCH,CEST.ARCH.MOUNT,CEST.WS.MOUNT,CEST.TRI.MOUNT,CEST.MEGAN.MOUNT,TREM.CV.MOUNT
159136,159136_04,22,Carpiodes velifer,,,,1990,10,19,Suttkus and Caruso,KL GMC,03/06/2024,54,41,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,40,0,0,0,0,0,0,0
31117,31117_02,9,Carpiodes velifer,,,,1963,4,27,Suttkus and Gurring,kl DD,03/12/2024,38,28,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,na,na,0,0,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0
31117,31117_01,9,Carpiodes velifer,,,,1963,4,27,Suttkus and Gurring,KL CJW,03/12/2024,41,31,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,424,0,0,0,0,0,0,0
33237,33237_02,5,Carpiodes velifer,,,,1964,6,11,Suttkus and Gurring,kl dd gmc,03/20/2024,47,36,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0
31117,31117_03,9,Carpiodes velifer,,,,1963,4,27,Suttkus and Gurring,kl gmc dd,03/12/2024,62,45,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
31117,31117_04,9,Carpiodes velifer,,,,1963,4,27,Suttkus and Gurring,KL,03/12/2024,42,30,,NA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0
134748,134748_01,11,Carpiodes velifer,,,,1984,4,26,Suttkus & J,kl,03/13/2024,53,38,,na,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
134748,134748_02,11,Carpiodes velifer,,,,1984,4,26,Suttkus & J,KL GC,03/13/2024,48,35,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
134748,134748_03,11,Carpiodes velifer,,,,1984,4,26,Suttkus & J,kl cjw,03/13/2024,58,46,,na,,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,90,0,0,0,0,na,0,0,0,0,na,na,na,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0
159147,159147_01,10,Carpiodes velifer,,,,1990,10,19,Suttkus and Caruso,kl,03/19/2024,50,37,,na,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,na,na,na,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
