InstitutionCode,CatalogNumber,IndividualCount,ScientificName,Latitude,Longitude,Locality,YearCollected,MonthCollected,DayCollected,Collector,ControlOrImpact,IndividualFishID,Dissector,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,weight_mg,Arthropod_GutContents,Mullusc_GutContents,Vegetation_GutContents,Rotifer_GutContents,NotesOnSpecimenPriorToDissection,TREM.Sk.SKIN,BuccalCavity,TREM.SK.BodyCavity,TREM.CHONK.BODYCAV,CYST.PRO.PectoralFin,CYST.PRO.PelvicFin,CYST.PRO.AnalFin,CYST.PRO.CaudalFin,CYST.PRO.DorsalFin,Gonad,NEM.LARV.Liver,TREM.ENDOUS.LIVER,CYST.LOBE.Liver,Spleen,GALLBLADDER,TREM.PHLb.UrinaryBladder,Kidney,TREM.SK.Eye,nem.larv.eye,CYST.UNK.EYE,Heart,CEST.BOT.Stomach,ACANTH.CYA.CONNECTIVETISSUE,ACANTH.THIN.CONNECTIVE,NEM.LARV.CONNECTIVETISSUE,nem.unk.connectivetissue,TREM.ENDOUS.CONNECTIVE,TREM.CL.CONNECTIVETISSUES,CYST.LOBE.ConnectiveTissue,CYST.UNK.CONNECTIVETISSUES,NEM.LARV.INTESTINE,NEM.SQUIG.INTESTINE,NEM.HEATH.INTESTINE,NEM.UNK.INTESTINE,CEST.BOT.INTESTINE,ACANTH.BB.INTESTINE,acanth.cya.intestine,CYST.LOBE.INTESTINE,CYST.UNKN.INTESTINE,MONO.GYRO.Gill,TREM.ISPOT.GILL,CYST.UNK.GILL,ACANTH.BB.FLUSH,ACANTH.CYA.FLUSH,NEM.LARV.Flush,CYST.LOBE.FLUSH,NEM.LARV.VOUCH,NEM.SQUIG.VOUCH,NEM.HEATH.VOUCH,NEM.UNK.VOUCH,CEST.BOT.VOUCH,ACANTH.BB.VOUCH,ACANTH.CYA.VOUCH,ACANTH.THIN.VOUCH,TREM.SK.VOUCH,TREM.ISPOT.VOUCH,TREM.CL.VOUCH,TREM.ENDOUS.VOUCH,TREM.CHONK.VOUCH,CYST.PRO.VOUCH,CYST.LOBE.VOUCH,CYST.UNKN.VOUCH,MONO.GYRO.SLIDE
TU,64889,NA,Percina vigil,,,,1970,10,27,Suttkus and Thompson,,64889_02,kl,07/12/2023,na,47,40,na,na,na,na,na,,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TU,64889,NA,Percina vigil,,,,1970,10,27,Suttkus and Thompson,,64889_01,KL,07/11/23,NA,44,39,na,na,na,na,na,,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,42166,15/171,Percina vigil,,,,1966,10,29,SUTTKUS CLEMMER AND JORDAN,,42166_01,KL ACL GMC,04/17/2024,M,55,46,na,na,na,na,na,,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,42166,15/171,Percina vigil,,,,1966,10,29,SUTTKUS CLEMMER AND JORDAN,,42166_02,KL GMC,04/17/2024,M,54,46,na,na,na,na,na,CADDISFLYS,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TU,92873,32,Percina vigil,,,,1975,1,28,suttkus and Caruso,,92873_01,ht ddm kl,04/22/2024,f,50,42,na,na,na,na,na,,0,0,0,0,0,30,77,32,2,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0
TU,92873,32,Percina vigil,,,,1975,1,28,suttkus and Caruso,,92873_02,HT ACL KL,04/22/2024,F,50,41,na,na,na,na,na,,0,0,0,0,0,45,97,61,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TU,68677,9,Percina vigil,,,,1971,4,20,suttkus and thompson,,68677_02,ht acl gmc,04/22/2024,f,38,33,na,na,na,na,na,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,NA,0,0,0,0,0,2,1,0
TU,86516,17,Percina vigil,,,,1974,1,14,SUTTKUS AND GUNNING,,86516_01,HT ACL,04/29/2024,NA,48,41,na,na,na,na,na,,0,0,0,0,0,15,52,24,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TU,68677,9,Percina vigil,,,,1971,4,20,suttkus and thompson,,68677_01,ht cjw kl,04/22/2024,m,54,46,na,na,na,na,na,fibrous grey spots all over internal connective tissues. cest.bot was lost,0,0,0,0,0,0,74,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
TU,160042,17,Percina vigil,,,,1991,1,3,suttkus and Caruso,,160042_02,sde acl,04/30/2024,f,51,43,na,na,na,na,na,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
