Year,Bonaparte's Gull,Herring Gull,Ring-billed Gull,Green Heron,Black-crowned Night Heron,Osprey,Ferruginous Hawk,Northern Goshawk,Common Loon,Rough-legged Hawk,Swainson's Hawk,Tundra Swan,Turkey Vulture,Spotted Sandpiper,Western sandpiper,Number/Party Hours,Sum of Number/Party Hours
1972,0.0088,0.0723,9.0712,0.0022,0.0811,0,0.0022,0.011,0.0044,0.0153,0,0.0263,0,0.0088,0.0022,9.3058,9.3058
1973,0.0023,0.0068,18.248,0.0137,0.0364,0,0.0182,0.0046,0.0023,0.0182,0,0.0023,0,0.0114,0.0774,18.4416,18.4416
1974,0.0039,0.002,1.5551,0,0.0254,0,0.0156,0.002,0,0.0332,0,0,0,0.0039,0,1.6411,1.6411
1975,0,0.0173,11.0306,0.0019,0.0442,0.0038,0.0192,0.0019,0,0.0365,0,0.0038,0,0.0096,0,11.1688,11.1688
1976,0,0.0253,2.6369,0.0034,0.0522,0,0.0253,0.0084,0,0.0202,0,0.0017,0,0.0084,0.0977,2.8795,2.8795
1977,0,0.0118,1.642,0.0015,0.0695,0,0.0237,0,0.0015,0.0178,0,0.0015,0,0.0325,0.0251,1.8269,1.8269
1978,0,0.0171,3.192,0.0047,0.045,0.0031,0.0202,0.0031,0.0031,0.014,0,0.0016,0,0.0016,0.1382,3.4437,3.4437
1979,0,0.0081,2.2876,0.0093,0.0905,0,0.0232,0.0058,0.0023,0.0221,0,0.0012,0,0.0058,0.0093,2.4652,2.4652
1980,0.0343,0.0024,1.3899,0.0012,0.0816,0,0.0343,0.0024,0.0024,0.0166,0.0012,0,0.0012,0.0024,0.0331,1.603,1.603
1981,0.0337,0.0137,1.5481,0.0025,0.0774,0,0.0225,0.0012,0.0087,0.0087,0,0.0125,0,0.0012,0.0037,1.7339,1.7339
1982,0.0025,0.01,1.2417,0.0012,0.055,0,0.03,0.0062,0,0.0175,0,0,0,0.0012,0,1.3653,1.3653
1983,0.0093,0.0351,2.3788,0.0012,0.0818,0.0012,0.0315,0.0047,0,0.0187,0,0.0012,0.0035,0.007,0.0058,2.5798,2.5798
