"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","crus.d","crus.lersp","mono.gyrof","mono.salsp","mono.ss","trem.dips","trem.iz","trem.unk","nem.larv","nem.l","nem.myst","acanth.spk","cest.botsp","myxo.myxid","myxo.g"
"27","MSB:Fish:1086",1939,4,22,"MSB 1086-5","JAR8792F","JG","GC","07-07-2025","F",46,35,1207,"impact","impact_1931-1940",35.173111,-106.626066,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0
"28","MSB:Fish:1086",1939,4,22,"MSB1086-4","JAR8791F","BP","KL","07-07-2025","F",39,30,752,"impact","impact_1931-1940",35.173111,-106.626066,0,0,0,2,0,0,0,0,0,0,0,0,0,"0",0
"29","MSB:Fish:1086",1939,4,22,"MSB 1086-1","JAR8898F","BP","KL","07-07-2025","F",47,37,1182,"impact","impact_1931-1940",35.173111,-106.626066,0,0,0,6,0,0,0,0,0,0,0,0,0,"0",0
"30","MSB:Fish:1086",1939,4,22,"MSB 1086-3","JAR8902F","BP","KL","07-07-2025",NA,42,35,1023,"impact","impact_1931-1940",35.173111,-106.626066,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"31","MSB:Fish:1089",1939,1,24,"MSB 1089-3","JAR11117F","BP","GC","07-16-2025","F",38,29,552,"impact","impact_1931-1940",35.087167,-106.682164,0,0,0,4,0,0,0,0,0,0,0,0,0,"0",0
"32","MSB:Fish:1089",1939,1,24,"MSB 1089-5","JAR11111F","BP","KL","07-16-2025",NA,35,28,476,"impact","impact_1931-1940",35.087167,-106.682164,0,0,0,4,0,0,0,0,0,0,0,0,0,"0",0
"33","MSB:Fish:1089",1939,1,24,"MSB 1089-1","JAR11112F","BP","KL","07-16-2025","F",40,33,666,"impact","impact_1931-1940",35.087167,-106.682164,0,0,0,2,4,0,0,0,0,0,0,0,0,"0",0
"34","MSB:Fish:1089",1939,1,24,"MSB 1089-4","JAR11114F","BP","KL","07-16-2025","F",40,33,741,"impact","impact_1931-1940",35.087167,-106.682164,0,0,0,0,0,2,0,0,0,0,0,0,0,"0",0
"35","MSB:Fish:1089",1939,1,24,"MSB 1089-2","JAR11109F","BP","GC","07-16-2025",NA,38,30,571,"impact","impact_1931-1940",35.087167,-106.682164,0,0,0,4,0,0,0,0,0,0,0,0,0,"0",0
"36","MSB:Fish:10898",1992,7,9,"MSB 10898-5","JAR11023F","KL","KL","07-28-2025",NA,25,20,139,"control","control_1991-2000",35.211277,-106.611666,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"37","MSB:Fish:10898",1992,7,9,"MSB 10898-4","JAR11046F","KL","KL","07-28-2025","F",31,25,309,"control","control_1991-2000",35.211277,-106.611666,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"38","MSB:Fish:10898",1992,7,9,"MSB 10898-3","JAR11040F","KL","KL","07-28-2025","F",24,19,123,"control","control_1991-2000",35.211277,-106.611666,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"39","MSB:Fish:10898",1992,7,9,"MSB 10898-2","JAR11038F","KL","KL","07-28-2025","M",26,21,118,"control","control_1991-2000",35.211277,-106.611666,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"40","MSB:Fish:10898",1992,7,9,"MSB 10898-1","JAR11039F","KL","KL","07-28-2025","M",22,18,90,"control","control_1991-2000",35.211277,-106.611666,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,0
"41","MSB:Fish:1090",1939,6,9,"MSB 1090-4","JAR11354F","BP","GC","07-10-2025","M",25,19,132,"impact","impact_1931-1940",34.906619,-106.685289,0,0,0,14,0,0,0,0,0,0,0,0,0,NA,0
"42","MSB:Fish:1090",1939,6,9,"MSB 1090-2","JAR11351F","BP","JG","07-10-2025","F",37,30,670,"impact","impact_1931-1940",34.906619,-106.685289,0,0,0,8,0,0,0,0,0,0,0,0,0,NA,0
"43","MSB:Fish:1090",1939,6,9,"MSB 1090-5","JAR11349F","BP","KL","07-10-2025","F",29,24,323,"impact","impact_1931-1940",34.906619,-106.685289,0,0,0,12,0,0,0,0,0,0,0,0,0,NA,0
"44","MSB:Fish:1090",1939,6,9,"MSB 1090-3","JAR11357F","BP","EO","07-10-2025","F",33,25,483,"impact","impact_1931-1940",34.906619,-106.685289,0,0,0,6,0,0,0,0,0,0,0,0,0,NA,0
"45","MSB:Fish:1090",1939,6,9,"MSB 1090-1","JAR11348F","BP","GC","07-10-2025","F",39,30,751,"impact","impact_1931-1940",34.906619,-106.685289,0,0,0,22,0,0,0,0,0,0,0,0,0,NA,0
"46","MSB:Fish:10922",1992,7,9,"MSB 10922-3","JAR11592F","BP","KL","07-18-2025","F",33,25,400,"impact","impact_1991-2000",35.10469444,-106.6916667,0,0,0,12,2,0,0,0,0,0,1,0,0,"0",0
"47","MSB:Fish:10922",1992,7,9,"MSB 10922-5","JAR115843F","BP","GC","07-18-2025","F",30,24,322,"impact","impact_1991-2000",35.10469444,-106.6916667,0,0,0,12,0,0,0,0,0,0,0,0,0,"0",0
"48","MSB:Fish:10922",1992,7,9,"MSB 10922-4","JAR11584F","JG","GC","07-18-2025","F",27,22,141,"impact","impact_1991-2000",35.10469444,-106.6916667,0,0,0,4,0,0,0,0,0,0,0,0,0,NA,0
"49","MSB:Fish:10922",1992,7,9,"MSB 10922-2","JAR11586F","JG","GC","07-18-2025","F",25,20,143,"impact","impact_1991-2000",35.10469444,-106.6916667,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"50","MSB:Fish:10922",1992,7,9,"MSB 10922-1","JAR11589F","JG","KL","07-18-2025","F",30,25,362,"impact","impact_1991-2000",35.10469444,-106.6916667,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"51","MSB:Fish:10944",1992,7,15,"MSB 10944-2","JAR11565F","BP","GC","07-17-2025","F",37,29,751,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,28,0,0,0,0,0,0,0,0,0,"0",0
"52","MSB:Fish:10944",1992,7,15,"MSB 10944-3","JAR11566F","BP","GC","07-17-2025","F",48,36,1418,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,38,0,0,0,0,0,0,0,0,0,"0",0
"53","MSB:Fish:10944",1992,7,15,"MSB 10944-4","JAR11564F","BP","KL","07-17-2025","F",34,27,538,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,38,6,0,0,0,0,0,0,0,0,"0",0
"54","MSB:Fish:10944",1992,7,15,"MSB 10944-5","JAR11567F","BP","KL","07-17-2025","F",35,27,542,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,8,0,0,0,0,0,0,0,0,0,NA,0
"55","MSB:Fish:10944",1992,7,15,"MSB 10944-1","JAR11568F","BP","GC","07-17-2025","F",43,33,1179,"impact","impact_1991-2000",35.089293,-106.680842,0,0,0,76,0,0,0,0,0,0,0,0,0,NA,0
"56","MSB:Fish:1098",1939,5,13,"MSB 1098-4","JAR8819F","EO","KL","07-07-2025","F",32,25,352,"impact","impact_1931-1940",35.189406,-106.625396,0,0,0,2,0,0,0,0,0,0,0,0,0,"0",0
"57","MSB:Fish:1098",1939,5,13,"MSB 1098-2","JAR8815F","EO","GC","07-07-2025","F",41,33,887,"impact","impact_1931-1940",35.189406,-106.625396,0,0,0,2,0,0,0,0,0,0,0,0,0,"0",0
"58","MSB:Fish:1098",1939,5,13,"MSB 1098-3","JAR8817F","EO","KL","07-07-2025",NA,30,24,257,"impact","impact_1931-1940",35.189406,-106.625396,0,0,0,2,0,0,0,0,0,0,0,0,0,"0",0
"59","MSB:Fish:1098",1939,5,13,"MSB 1098-5","JAR8812F","EO","KL","07-07-2025",NA,41,33,697,"impact","impact_1931-1940",35.189406,-106.625396,0,0,0,2,0,0,0,0,0,0,0,0,0,"0",0
"60","MSB:Fish:1098",1939,5,13,"MSB 1098-1","JAR8814F","EO","KL","07-08-2025","F",46,37,1164,"impact","impact_1931-1940",35.189406,-106.625396,0,0,0,4,0,0,0,0,0,0,0,0,0,"0",0
"61","MSB:Fish:1100",1939,2,26,"MSB 1100-4","JAR8824F","BP","KL","07-08-2025","F",28,24,303,"impact","impact_1931-1940",35.072363,-106.668064,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"62","MSB:Fish:1100",1939,2,26,"MSB 1100-3","JAR8823F","JG","KL","07-08-2025",NA,33,25,326,"impact","impact_1931-1940",35.072363,-106.668064,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0
"63","MSB:Fish:1100",1939,2,26,"MSB 1100-1","JAR8825F","JG","KL","07-08-2025","F",43,33,679,"impact","impact_1931-1940",35.072363,-106.668064,0,0,0,6,0,0,0,0,0,0,0,0,0,"0",0
"64","MSB:Fish:1100",1939,2,26,"MSB 1100-2","JAR8827F","BP","EO ","07-08-2025","F",28,25,318,"impact","impact_1931-1940",35.072363,-106.668064,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"65","MSB:Fish:1100",1939,2,26,"MSB 1100-5","JAR8829F","JG","KL","07-08-2025",NA,26,23,226,"impact","impact_1931-1940",35.072363,-106.668064,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"66","MSB:Fish:1105",1939,1,20,"MSB 1105-1","JAR11362F","JG","GC","07-10-2025",NA,30,24,202,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,8,0,0,0,0,0,0,0,0,0,NA,0
"67","MSB:Fish:1105",1939,1,30,"MSB 1105-5","JAR11360F","JG","KL","07-10-2025",NA,36,28,396,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,0,2,2,0,0,0,0,0,0,0,"0",0
"68","MSB:Fish:1105",1939,1,30,"MSB 1105-3","JAR11361F","JG","KL","07-10-2025",NA,40,36,728,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"69","MSB:Fish:1105",1939,1,30,"MSB 1105-2","JAR11365F","JG","JG","07-10-2025",NA,27,23,158,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"70","MSB:Fish:1105",1939,1,30,"MSB 1105-4","JAR11368F","EO","EO","07-10-2025",NA,40,32,456,"impact","impact_1931-1940",35.100259,-106.692107,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0
"71","MSB:Fish:11095",1992,7,21,"MSB 11095-1","JAR11015F","KL","KL","07-23-2025",NA,26,21,178,"impact","impact_1991-2000",35.027111,-106.672944,0,0,0,4,0,4,0,0,0,0,0,0,0,NA,0
