"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","FishBarcode","Dissector","Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"98","MSB:Fish:30810",1996,2,7,"MSB 30810-4","JAR8739F","BP","CW","06-25-2026",NA,66,52,2148,"impact","impact_1991-2000",35.089293,-106.680842,"cope.imler",0
"99","MSB:Fish:30810",1996,2,7,"MSB 30910-1","JAR8734F","EO","CW","06-25-2025",NA,68,54,2437,"impact","impact_1991-2000",35.089293,-106.680842,"cope.imler",0
"100","MSB:Fish:30810",1996,2,7,"MSB 30810-5","JAR8741F","BP","CW","06-25-2025",NA,63,52,2142,"impact","impact_1991-2000",35.089293,-106.680842,"cope.imler",0
"101","MSB:Fish:39103",1997,10,15,"MSB 39103-1","JAR8670F","BP","JG KL","06-23-2025",NA,57,53,2560,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"102","MSB:Fish:39103",1997,10,15,"MSB 39103-3","JAR8675F","BP","KL","06-23-2025",NA,61,47,2132,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"103","MSB:Fish:39103",1997,10,15,"MSB 39103-5","JAR8678F","EO","CW","06-23-2025",NA,60,47,2006,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"104","MSB:Fish:39103",2997,10,15,"MSB 39103-4","JAR8676F","EO","EO CLW","06-23-2025",NA,69,54,3110,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"105","MSB:Fish:39103",1997,10,15,"MSB 39103-2","JAR8677F","JG","KL","06-23-2025",NA,69,56,3012,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"106","MSB:Fish:3966",1977,9,28,"MSB 3966-5","JAR8879F","JG","CW","07-02-2025",NA,51,41,1353,"impact","impact_1971-1980",35.134883,-106.690838,"cope.imler",0
"107","MSB:Fish:3966",1977,9,28,"MSB 3966-3","JAR8894F","JG","GC","07-02-2025",NA,50,39,1164,"impact","impact_1971-1980",35.134883,-106.690838,"cope.imler",0
"108","MSB:Fish:3966",1977,9,28,"MSB 3966-1","JAR8888F","JG","KL","07-02-2025",NA,55,44,1530,"impact","impact_1971-1980",35.134883,-106.690838,"cope.imler",0
"109","MSB:Fish:3966",1977,9,28,"MSB 3966-4","JAR8885F","JG","GC","07-02-2025",NA,57,47,2076,"impact","impact_1971-1980",35.134883,-106.690838,"cope.imler",0
"110","MSB:Fish:3966",1977,9,28,"MSB 3966-2","JAR8892F","JG","CW","07-02-2025",NA,38,30,477,"impact","impact_1971-1980",35.134883,-106.690838,"cope.imler",0
"111","MSB:Fish:4096",1978,9,5,"MSB 4096-1","JAR8718F","BP","KL","06-24-2025",NA,44,36,1043,"impact","impact_1971-1980",35.10625,-106.692633,"cope.imler",0
"112","MSB:Fish:4096",1978,9,5,"MSB 4096-5","JAR8715F","BP","KL","06-24-2025",NA,41,33,774,"impact","impact_1971-1980",35.10625,-106.692633,"cope.imler",0
"113","MSB:Fish:4096",1978,9,5,"MSB 4096-3","JAR8713F","BP","EO CW","06-24-2025",FALSE,49,39,1118,"impact","impact_1971-1980",35.10625,-106.692633,"cope.imler",0
"114","MSB:Fish:4096",1978,9,5,"MSB 4096-4","JAR8717F","EO","CW","06-24-2025",NA,45,35,856,"impact","impact_1971-1980",35.10625,-106.692633,"cope.imler",0
"115","MSB:Fish:4096",1978,9,5,"MSB 4096-2","JAR8711F","EO","CW","06-24-2025",NA,44,34,903,"impact","impact_1971-1980",35.10625,-106.692633,"cope.imler",0
"116","MSB:Fish:4161",1977,8,5,"MSB 4161-3","JAR8700F","BP","CW","06-24-2025",NA,39,29,511,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"117","MSB:Fish:4161",1977,8,5,"MSB 4161-4","JAR8702F","JG","CLW","06-24-2025",NA,41,31,632,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"118","MSB:Fish:4161",1977,8,5,"MSB 4161-5","JAR8703F","JG","CLW","06-24-2025",NA,36,29,444,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"119","MSB:Fish:4161",1977,8,5,"MSB 4161-1","JAR8696F","JG","KL","06-24-2025",NA,53,43,1166,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"120","MSB:Fish:4161",1977,8,5,"MSB 4161-2","JAR8698F","JG","JG KL","06-24-2025",NA,44,35,753,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"121","MSB:Fish:4206",1978,9,8,"MSB 4206-3","JAR8847F","EO","KL","07-01-2025",NA,39,30,567,"control","control_1971-1980",35.256141,-106.596281,"cope.imler",0
"122","MSB:Fish:4206",1978,9,8,"MSB 4206-1","JAR8848F","EO","JG KL","07-01-2025",NA,43,33,739,"control","control_1971-1980",35.256141,-106.596281,"cope.imler",0
"123","MSB:Fish:4206",1978,9,8,"MSB 4206-4","JAR8852F","EO","GC","07-01-2025",NA,37,29,503,"control","control_1971-1980",35.256141,-106.596281,"cope.imler",0
"124","MSB:Fish:4206",1978,9,8,"MSB 4206-2","JAR8850F","EO","CW","07-01-2025",NA,40,31,665,"control","control_1971-1980",35.256141,-106.596281,"cope.imler",0
"125","MSB:Fish:4206",1978,9,8,"MSB 4206-5","JAR8854F","EO","JG KL","07-01-2025",NA,36,29,433,"control","control_1971-1980",35.256141,-106.596281,"cope.imler",0
"126","MSB:Fish:43490",1999,10,11,"MSB 43490-1","JAR8745F","BP","CW","06-26-2025",NA,72,57,3244,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"127","MSB:Fish:43490",1999,10,11,"MSB 43490-3","JAR8749F","BP","CLW","06-26-2025",FALSE,61,49,2200,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"128","MSB:Fish:43490",1999,10,11,"MSB 43490-5","JAR8746F","BP","CLW","06-26-2025",FALSE,60,51,2094,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"129","MSB:Fish:43490",1999,10,11,"MSB 43490-2","JAR8747F","JG","CLW","06-26-2025",NA,61,55,2713,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"130","MSB:Fish:43490",1999,10,11,"MSB 43490-4","JAR8744F","JG","EO CLW","06-26-2025",FALSE,67,54,2031,"control","control_1991-2000",35.28302778,-106.5981389,"cope.imler",0
"131","MSB:Fish:4384",1978,9,23,"MSB 4384-3","JAR8748F","BP","KL","06-30-2025",FALSE,55,44,1919,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"132","MSB:Fish:4384",1978,9,23,"MSB 4384-4","JAR8752F","EO","GC","06-30-2025",NA,63,49,2458,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"133","MSB:Fish:4384",1978,9,23,"MSB 4384-2","JAR8757F","EO","CW","06-30-2025",NA,64,49,2390,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"134","MSB:Fish:4384",1978,9,23,"MSB 4384-1","JAR8750F","BP","CW","06-30-2025",NA,67,55,3024,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"135","MSB:Fish:4384",1978,9,23,"MSB 4384-5","JAR8756F","BP","KL","06-30-2025",NA,63,51,2594,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"136","MSB:Fish:4423",1978,8,3,"MSB 4423-4","JAR8724F","BP","KL","06-30-2025",NA,44,36,880,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"137","MSB:Fish:4423",1978,8,3,"MSB 4423-1","JAR8758F","EO","GC","06-30-2025",NA,46,37,1128,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"138","MSB:Fish:4423",1978,8,3,"MSB 4423-2","JAR8754F","BP","CW","06-30-2025",NA,49,38,1164,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"139","MSB:Fish:4423",1978,8,3,"MSB 4423-5","JAR8751F","EO","CW","06-30-2025",NA,42,33,832,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"140","MSB:Fish:4423",1978,8,3,"MSB 4423-3","JAR8726F","EO","KL","06-30-2025",NA,47,37,1155,"impact","impact_1971-1980",34.905272,-106.685564,"cope.imler",0
"141","MSB:Fish:4432",1978,9,8,"MSB 4432-3","JAR8727F","BP","CW","06-30-2025",NA,39,31,570,"control","control_1971-1980",35.239638,-106.587548,"cope.imler",0
"142","MSB:Fish:4432",1978,9,8,"MSB 4432-1","JAR8759F","BP","JG","06-30-2025",NA,39,30,568,"control","control_1971-1980",35.239638,-106.587548,"cope.imler",0
"143","MSB:Fish:4432",1978,9,8,"MSB 4432-5","JAR8753F","BP","JG GC","06-30-2025",NA,35,26,360,"control","control_1971-1980",35.239638,-106.587548,"cope.imler",0
"144","MSB:Fish:4432",1978,9,8,"MSB 4432-4","JAR8729F","EO","CW","06-30-2025",NA,39,29,548,"control","control_1971-1980",35.239638,-106.587548,"cope.imler",0
"145","MSB:Fish:4432",1978,9,8,"MSB 4432-2","JAR8722F","EO","EO GC","06-30-2025",NA,52,42,1431,"control","control_1971-1980",35.239638,-106.587548,"cope.imler",0
